Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Mars,1, 0001-Nov-08 02:47:00 UTC,0.608,19.868
Jupiter Mars,4, 0004-Jan-15 19:57:00 UTC,0.621,23.592
Jupiter Mars,6, 0006-Mar-27 06:12:00 UTC,0.116,22.544
Jupiter Mars,8, 0008-Jun-16 20:21:00 UTC,0.681,27.579
Jupiter Mars,10, 0010-Sep-13 15:09:00 UTC,0.503,44.116
Jupiter Mars,12, 0012-Dec-05 07:37:00 UTC,0.112,64.064
Jupiter Mars,15, 0015-Feb-17 05:17:00 UTC,0.407,73.674
Jupiter Mars,17, 0017-Apr-25 22:26:00 UTC,0.693,70.541
Jupiter Mars,19, 0019-Jul-12 08:14:00 UTC,0.106,70.938
Jupiter Mars,21, 0021-Oct-17 01:42:00 UTC,1.091,96.837
Jupiter Mars,22, 0022-Mar-05 07:23:00 UTC,2.441,112.973
Jupiter Mars,24, 0024-Jun-18 00:19:00 UTC,0.924,75.686
Jupiter Mars,26, 0026-Aug-28 02:08:00 UTC,2.086,70.165
Jupiter Mars,28, 0028-Oct-30 09:14:00 UTC,0.834,73.416
Jupiter Mars,31, 0031-Jan-15 03:19:00 UTC,1.434,69.003
Jupiter Mars,33, 0033-Apr-18 01:11:00 UTC,1.263,50.022
Jupiter Mars,35, 0035-Jul-16 01:11:00 UTC,0.172,32.526
Jupiter Mars,37, 0037-Sep-27 02:40:00 UTC,1.089,23.585
Jupiter Mars,39, 0039-Dec-02 11:58:00 UTC,0.766,22.192
Jupiter Mars,42, 0042-Feb-11 08:14:00 UTC,0.527,21.722
Jupiter Mars,44, 0044-May-07 04:31:00 UTC,1.014,12.867
Jupiter Mars,46, 0046-Aug-04 15:42:00 UTC,0.291,3.033
Jupiter Mars,48, 0048-Oct-21 16:51:00 UTC,0.509,16.635
Jupiter Mars,50, 0050-Dec-30 03:45:00 UTC,0.702,22.231
Jupiter Mars,53, 0053-Mar-08 18:10:00 UTC,0.077,21.461
Jupiter Mars,55, 0055-May-27 16:51:00 UTC,0.637,24.206
Jupiter Mars,57, 0057-Aug-23 07:05:00 UTC,0.581,38.337
Jupiter Mars,59, 0059-Nov-16 15:36:00 UTC,0.181,58.446
Jupiter Mars,62, 0062-Jan-30 12:29:00 UTC,0.297,71.146
Jupiter Mars,64, 0064-Apr-08 08:26:00 UTC,0.68,70.104
Jupiter Mars,66, 0066-Jun-21 20:45:00 UTC,0.255,67.963
Jupiter Mars,68, 0068-Sep-19 15:59:00 UTC,0.696,84.57
Jupiter Mars,71, 0071-May-29 00:19:00 UTC,0.382,81.417
Jupiter Mars,73, 0073-Aug-11 13:58:00 UTC,2.06,71.786
Jupiter Mars,75, 0075-Oct-14 18:21:00 UTC,1.374,74.315
Jupiter Mars,77, 0077-Dec-25 02:02:00 UTC,1.08,73.377
Jupiter Mars,80, 0080-Mar-25 20:06:00 UTC,1.534,56.181
Jupiter Mars,82, 0082-Jun-25 18:35:00 UTC,0.148,37.049
Jupiter Mars,84, 0084-Sep-10 03:14:00 UTC,0.987,26.026
Jupiter Mars,86, 0086-Nov-16 09:35:00 UTC,0.97,23.254
Jupiter Mars,89, 0089-Jan-23 21:12:00 UTC,0.243,23.465
Jupiter Mars,91, 0091-Apr-16 11:59:00 UTC,1.055,16.911
Jupiter Mars,93, 0093-Jul-14 15:20:00 UTC,0.501,2.087
Jupiter Mars,95, 0095-Oct-04 14:27:00 UTC,0.376,12.934
Jupiter Mars,97, 0097-Dec-13 14:50:00 UTC,0.742,20.525
Jupiter Mars,100, 0100-Feb-20 01:04:00 UTC,0.27,20.582
Jupiter Mars,102, 0102-May-08 00:15:00 UTC,0.547,21.497
Jupiter Mars,104, 0104-Aug-02 17:25:00 UTC,0.652,32.969
Jupiter Mars,106, 0106-Oct-28 18:15:00 UTC,0.257,52.653
Jupiter Mars,109, 0109-Jan-13 16:35:00 UTC,0.201,67.926
Jupiter Mars,111, 0111-Mar-24 00:50:00 UTC,0.635,69.532
Jupiter Mars,113, 0113-Jun-02 23:30:00 UTC,0.381,65.975
Jupiter Mars,115, 0115-Aug-28 01:51:00 UTC,0.446,76.085
Jupiter Mars,118, 0118-May-06 08:48:00 UTC,0.318,89.538
Jupiter Mars,120, 0120-Jul-26 09:50:00 UTC,1.901,74.083
Jupiter Mars,122, 0122-Sep-29 10:16:00 UTC,1.822,75.058
Jupiter Mars,124, 0124-Dec-05 22:57:00 UTC,0.562,76.898
Jupiter Mars,127, 0127-Mar-04 11:41:00 UTC,1.722,62.493
Jupiter Mars,129, 0129-Jun-05 18:22:00 UTC,0.494,42.022
Jupiter Mars,131, 0131-Aug-25 12:34:00 UTC,0.823,28.921
Jupiter Mars,133, 0133-Nov-01 02:52:00 UTC,1.114,24.551
Jupiter Mars,136, 0136-Jan-07 22:18:00 UTC,0.076,24.891
Jupiter Mars,138, 0138-Mar-27 06:04:00 UTC,1.018,20.507
Jupiter Mars,140, 0140-Jun-24 03:07:00 UTC,0.704,6.877
Jupiter Mars,142, 0142-Sep-16 17:34:00 UTC,0.21,8.82
Jupiter Mars,144, 0144-Nov-27 21:28:00 UTC,0.739,18.381
Jupiter Mars,147, 0147-Feb-04 02:05:00 UTC,0.445,19.77
Jupiter Mars,149, 0149-Apr-18 08:26:00 UTC,0.411,19.488
Jupiter Mars,151, 0151-Jul-13 01:47:00 UTC,0.706,28.135
Jupiter Mars,153, 0153-Oct-08 03:57:00 UTC,0.343,46.634
Jupiter Mars,155, 0155-Dec-27 09:16:00 UTC,0.115,63.95
Jupiter Mars,158, 0158-Mar-07 01:11:00 UTC,0.572,68.652
Jupiter Mars,160, 0160-May-15 01:55:00 UTC,0.482,64.807
Jupiter Mars,162, 0162-Aug-05 02:33:00 UTC,0.259,69.931
Jupiter Mars,164, 0164-Nov-16 14:15:00 UTC,1.526,105.518
Jupiter Mars,165, 0165-Apr-07 18:42:00 UTC,1.277,102.489
Jupiter Mars,167, 0167-Jul-09 13:15:00 UTC,1.613,77.176
Jupiter Mars,169, 0169-Sep-13 11:53:00 UTC,2.136,75.783
Jupiter Mars,171, 0171-Nov-17 21:20:00 UTC,0.075,79.483
Jupiter Mars,174, 0174-Feb-08 21:07:00 UTC,1.782,68.913
Jupiter Mars,176, 0176-May-14 17:12:00 UTC,0.859,47.563
Jupiter Mars,178, 0178-Aug-07 06:03:00 UTC,0.598,32.273
Jupiter Mars,180, 0180-Oct-15 18:20:00 UTC,1.186,26.114
Jupiter Mars,182, 0182-Dec-21 11:27:00 UTC,0.399,26.101
Jupiter Mars,185, 0185-Mar-06 13:18:00 UTC,0.892,23.613
Jupiter Mars,187, 0187-Jun-03 09:44:00 UTC,0.885,11.609
Jupiter Mars,189, 0189-Aug-28 07:53:00 UTC,0.019,4.467
Jupiter Mars,191, 0191-Nov-11 17:36:00 UTC,0.694,15.733
Jupiter Mars,194, 0194-Jan-18 03:50:00 UTC,0.594,18.756
Jupiter Mars,196, 0196-Mar-30 04:58:00 UTC,0.237,17.948
Jupiter Mars,198, 0198-Jun-21 15:13:00 UTC,0.73,23.94
Jupiter Mars,200, 0200-Sep-18 04:29:00 UTC,0.438,40.682
Jupiter Mars,202, 0202-Dec-09 11:10:00 UTC,0.032,59.274
Jupiter Mars,205, 0205-Feb-19 01:30:00 UTC,0.497,67.251
Jupiter Mars,207, 0207-Apr-29 05:57:00 UTC,0.554,64.219
Jupiter Mars,209, 0209-Jul-15 16:27:00 UTC,0.1,65.591
Jupiter Mars,211, 0211-Oct-18 21:50:00 UTC,1.018,89.228
Jupiter Mars,214, 0214-Jun-21 01:24:00 UTC,1.188,81.607
Jupiter Mars,216, 0216-Aug-29 12:41:00 UTC,2.307,76.777
Jupiter Mars,218, 0218-Nov-01 05:01:00 UTC,0.747,81.11
Jupiter Mars,221, 0221-Jan-17 20:52:00 UTC,1.664,74.963
Jupiter Mars,223, 0223-Apr-23 19:54:00 UTC,1.22,53.628
Jupiter Mars,225, 0225-Jul-20 08:41:00 UTC,0.323,36.078
Jupiter Mars,227, 0227-Oct-01 12:11:00 UTC,1.183,27.931
Jupiter Mars,229, 0229-Dec-05 16:57:00 UTC,0.695,27.151
Jupiter Mars,232, 0232-Feb-16 10:15:00 UTC,0.68,26.229
Jupiter Mars,234, 0234-May-13 06:28:00 UTC,1.027,16.24
Jupiter Mars,236, 0236-Aug-09 05:37:00 UTC,0.194,0.998
Jupiter Mars,238, 0238-Oct-26 06:15:00 UTC,0.608,12.658
Jupiter Mars,241, 0241-Jan-02 08:39:00 UTC,0.707,17.479
Jupiter Mars,243, 0243-Mar-13 14:03:00 UTC,0.036,16.745
Jupiter Mars,245, 0245-Jun-01 12:53:00 UTC,0.713,20.405
Jupiter Mars,247, 0247-Aug-29 02:33:00 UTC,0.538,35.035
Jupiter Mars,249, 0249-Nov-20 03:50:00 UTC,0.053,54.113
Jupiter Mars,252, 0252-Feb-02 15:07:00 UTC,0.416,65.111
Jupiter Mars,254, 0254-Apr-11 15:26:00 UTC,0.596,63.766
Jupiter Mars,256, 0256-Jun-25 04:28:00 UTC,0.046,62.53
Jupiter Mars,258, 0258-Sep-23 05:07:00 UTC,0.742,78.761
Jupiter Mars,261, 0261-May-30 08:28:00 UTC,0.603,87.987
Jupiter Mars,263, 0263-Aug-14 01:09:00 UTC,2.328,78.303
Jupiter Mars,265, 0265-Oct-15 13:23:00 UTC,1.379,82.066
Jupiter Mars,267, 0267-Dec-28 05:06:00 UTC,1.344,80.157
Jupiter Mars,270, 0270-Mar-31 11:56:00 UTC,1.547,60.093
Jupiter Mars,272, 0272-Jun-30 08:28:00 UTC,0.001,40.488
Jupiter Mars,274, 0274-Sep-14 17:53:00 UTC,1.108,30.166
Jupiter Mars,276, 0276-Nov-19 11:19:00 UTC,0.941,28.162
Jupiter Mars,279, 0279-Jan-28 11:02:00 UTC,0.398,28.254
Jupiter Mars,281, 0281-Apr-21 07:11:00 UTC,1.107,20.552
Jupiter Mars,283, 0283-Jul-20 13:41:00 UTC,0.416,5.139
Jupiter Mars,285, 0285-Oct-08 14:16:00 UTC,0.484,9.258
Jupiter Mars,287, 0287-Dec-17 22:52:00 UTC,0.774,15.944
Jupiter Mars,290, 0290-Feb-23 15:38:00 UTC,0.173,15.763
Jupiter Mars,292, 0292-May-11 15:24:00 UTC,0.645,17.46
Jupiter Mars,294, 0294-Aug-07 15:22:00 UTC,0.634,29.674
Jupiter Mars,296, 0296-Oct-31 11:45:00 UTC,0.146,48.652
Jupiter Mars,299, 0299-Jan-15 23:00:00 UTC,0.334,62.269
Jupiter Mars,301, 0301-Mar-26 06:34:00 UTC,0.608,63.233
Jupiter Mars,303, 0303-Jun-07 10:24:00 UTC,0.183,60.469
Jupiter Mars,305, 0305-Aug-31 17:01:00 UTC,0.555,71.097
Jupiter Mars,307, 0307-Dec-21 18:51:00 UTC,1.919,117.833
Jupiter Mars,308, 0308-Jan-24 13:09:00 UTC,2.828,154.162
Jupiter Mars,308, 0308-May-06 09:12:00 UTC,0.193,97.572
Jupiter Mars,310, 0310-Jul-28 19:57:00 UTC,2.2,80.578
Jupiter Mars,312, 0312-Sep-30 04:26:00 UTC,1.927,82.785
Jupiter Mars,314, 0314-Dec-08 10:08:00 UTC,0.818,84.5
Jupiter Mars,317, 0317-Mar-08 20:04:00 UTC,1.804,66.901
Jupiter Mars,319, 0319-Jun-11 11:16:00 UTC,0.364,45.438
Jupiter Mars,321, 0321-Aug-29 07:45:00 UTC,0.962,32.88
Jupiter Mars,323, 0323-Nov-05 08:45:00 UTC,1.124,29.314
Jupiter Mars,326, 0326-Jan-11 13:40:00 UTC,0.075,29.78
Jupiter Mars,328, 0328-Apr-01 02:51:00 UTC,1.108,24.341
Jupiter Mars,330, 0330-Jun-30 08:31:00 UTC,0.637,9.931
Jupiter Mars,332, 0332-Sep-21 02:52:00 UTC,0.324,5.433
Jupiter Mars,334, 0334-Dec-02 10:19:00 UTC,0.796,14.016
Jupiter Mars,337, 0337-Feb-07 12:09:00 UTC,0.372,14.914
Jupiter Mars,339, 0339-Apr-23 14:50:00 UTC,0.526,15.198
Jupiter Mars,341, 0341-Jul-18 03:03:00 UTC,0.713,24.796
Jupiter Mars,343, 0343-Oct-13 14:15:00 UTC,0.248,43.092
Jupiter Mars,345, 0345-Dec-30 08:05:00 UTC,0.252,58.866
Jupiter Mars,348, 0348-Mar-09 10:01:00 UTC,0.593,62.506
Jupiter Mars,350, 0350-May-19 09:30:00 UTC,0.309,59.159
Jupiter Mars,352, 0352-Aug-09 04:01:00 UTC,0.406,65.177
Jupiter Mars,354, 0354-Nov-16 08:42:00 UTC,1.268,95.797
Jupiter Mars,355, 0355-Apr-02 09:34:00 UTC,1.544,117.196
Jupiter Mars,357, 0357-Jul-10 15:43:00 UTC,1.919,83.862
Jupiter Mars,359, 0359-Sep-15 01:48:00 UTC,2.337,83.472
Jupiter Mars,361, 0361-Nov-18 17:32:00 UTC,0.122,87.794
Jupiter Mars,364, 0364-Feb-14 00:38:00 UTC,1.943,73.918
Jupiter Mars,366, 0366-May-20 21:01:00 UTC,0.749,50.902
Jupiter Mars,368, 0368-Aug-11 09:33:00 UTC,0.753,36.025
Jupiter Mars,370, 0370-Oct-20 03:36:00 UTC,1.235,30.705
Jupiter Mars,372, 0372-Dec-25 03:08:00 UTC,0.269,31.034
Jupiter Mars,375, 0375-Mar-12 10:03:00 UTC,1.02,27.672
Jupiter Mars,377, 0377-Jun-08 20:40:00 UTC,0.844,14.682
Jupiter Mars,379, 0379-Sep-03 00:36:00 UTC,0.133,1.57
Jupiter Mars,381, 0381-Nov-15 13:02:00 UTC,0.771,11.626
Jupiter Mars,384, 0384-Jan-22 18:43:00 UTC,0.547,13.998
Jupiter Mars,386, 0386-Apr-04 14:55:00 UTC,0.362,13.535
Jupiter Mars,388, 0388-Jun-26 23:19:00 UTC,0.762,20.546
Jupiter Mars,390, 0390-Sep-23 03:30:00 UTC,0.361,37.445
Jupiter Mars,392, 0392-Dec-12 01:26:00 UTC,0.166,54.752
Jupiter Mars,395, 0395-Feb-21 15:29:00 UTC,0.559,61.355
Jupiter Mars,397, 0397-May-01 08:14:00 UTC,0.417,58.431
Jupiter Mars,399, 0399-Jul-19 18:45:00 UTC,0.27,60.794
Jupiter Mars,401, 0401-Oct-20 11:39:00 UTC,0.961,83.274
Jupiter Mars,404, 0404-Jun-21 06:07:00 UTC,1.485,88.492
Jupiter Mars,406, 0406-Aug-30 09:10:00 UTC,2.576,84.27
Jupiter Mars,408, 0408-Oct-31 13:33:00 UTC,0.649,89.901
Jupiter Mars,411, 0411-Jan-21 05:01:00 UTC,1.906,80.968
Jupiter Mars,413, 0413-Apr-28 04:51:00 UTC,1.147,57.049
Jupiter Mars,415, 0415-Jul-24 18:08:00 UTC,0.484,39.671
Jupiter Mars,417, 0417-Oct-03 21:21:00 UTC,1.268,32.375
Jupiter Mars,419, 0419-Dec-09 05:03:00 UTC,0.601,32.11
Jupiter Mars,422, 0422-Feb-20 07:06:00 UTC,0.838,30.512
Jupiter Mars,424, 0424-May-18 05:06:00 UTC,1.016,19.307
Jupiter Mars,426, 0426-Aug-14 11:56:00 UTC,0.081,3.465
Jupiter Mars,428, 0428-Oct-29 09:11:00 UTC,0.702,8.827
Jupiter Mars,431, 0431-Jan-06 02:33:00 UTC,0.689,12.848
Jupiter Mars,433, 0433-Mar-17 01:23:00 UTC,0.162,12.227
Jupiter Mars,435, 0435-Jun-07 01:21:00 UTC,0.772,16.886
Jupiter Mars,437, 0437-Sep-02 11:30:00 UTC,0.478,31.986
Jupiter Mars,439, 0439-Nov-24 06:54:00 UTC,0.072,50.088
Jupiter Mars,442, 0442-Feb-04 15:24:00 UTC,0.507,59.592
Jupiter Mars,444, 0444-Apr-13 22:59:00 UTC,0.501,57.988
Jupiter Mars,446, 0446-Jun-29 15:17:00 UTC,0.135,57.717
Jupiter Mars,448, 0448-Sep-26 08:24:00 UTC,0.77,74.097
Jupiter Mars,451, 0451-Jan-26 04:38:00 UTC,2.565,133.75
Jupiter Mars,451, 0451-May-30 22:25:00 UTC,0.852,95.718
Jupiter Mars,453, 0453-Aug-14 02:31:00 UTC,2.653,85.661
Jupiter Mars,455, 0455-Oct-15 14:16:00 UTC,1.406,91.105
Jupiter Mars,457, 0457-Dec-29 07:34:00 UTC,1.636,87.471
Jupiter Mars,460, 0460-Apr-04 19:49:00 UTC,1.529,63.788
Jupiter Mars,462, 0462-Jul-05 09:39:00 UTC,0.164,43.824
Jupiter Mars,464, 0464-Sep-17 16:50:00 UTC,1.224,34.305
Jupiter Mars,466, 0466-Nov-23 03:28:00 UTC,0.884,33.02
Jupiter Mars,469, 0469-Feb-01 02:49:00 UTC,0.574,32.782
Jupiter Mars,471, 0471-Apr-27 08:14:00 UTC,1.137,23.773
Jupiter Mars,473, 0473-Jul-25 06:03:00 UTC,0.312,7.976
Jupiter Mars,475, 0475-Oct-12 21:50:00 UTC,0.591,5.67
Jupiter Mars,477, 0477-Dec-20 14:55:00 UTC,0.787,11.43
Jupiter Mars,480, 0480-Feb-27 23:57:00 UTC,0.058,11.154
Jupiter Mars,482, 0482-May-17 09:53:00 UTC,0.732,13.809
Jupiter Mars,484, 0484-Aug-12 15:58:00 UTC,0.593,26.815
Jupiter Mars,486, 0486-Nov-05 06:28:00 UTC,0.03,45.1
Jupiter Mars,489, 0489-Jan-18 08:30:00 UTC,0.444,57.158
Jupiter Mars,491, 0491-Mar-28 16:26:00 UTC,0.559,57.508
Jupiter Mars,493, 0493-Jun-10 01:03:00 UTC,0.003,55.541
Jupiter Mars,495, 0495-Sep-04 15:21:00 UTC,0.634,66.927
Jupiter Mars,497, 0497-Dec-15 06:42:00 UTC,1.424,104.153
Jupiter Mars,498, 0498-Mar-03 22:44:00 UTC,2.405,170.632
Jupiter Mars,498, 0498-May-03 00:41:00 UTC,0.117,108.442
Jupiter Mars,500, 0500-Jul-28 22:38:00 UTC,2.56,87.926
Jupiter Mars,502, 0502-Sep-30 06:44:00 UTC,2.074,91.816
Jupiter Mars,504, 0504-Dec-08 16:03:00 UTC,1.114,93.011
Jupiter Mars,507, 0507-Mar-14 04:53:00 UTC,1.856,70.955
Jupiter Mars,509, 0509-Jun-16 01:31:00 UTC,0.202,48.592
Jupiter Mars,511, 0511-Sep-02 18:45:00 UTC,1.106,36.735
Jupiter Mars,513, 0513-Nov-08 05:26:00 UTC,1.11,34.021
Jupiter Mars,516, 0516-Jan-15 23:17:00 UTC,0.25,34.509
Jupiter Mars,518, 0518-Apr-06 22:19:00 UTC,1.182,27.844
Jupiter Mars,520, 0520-Jul-05 10:53:00 UTC,0.548,12.687
Jupiter Mars,522, 0522-Sep-26 03:16:00 UTC,0.442,2.345
Jupiter Mars,524, 0524-Dec-05 13:22:00 UTC,0.836,9.779
Jupiter Mars,527, 0527-Feb-11 20:38:00 UTC,0.275,10.286
Jupiter Mars,529, 0529-Apr-28 05:47:00 UTC,0.637,11.315
Jupiter Mars,531, 0531-Jul-24 11:07:00 UTC,0.696,21.932
Jupiter Mars,533, 0533-Oct-17 19:51:00 UTC,0.145,39.884
Jupiter Mars,536, 0536-Jan-02 22:08:00 UTC,0.372,54.121
Jupiter Mars,538, 0538-Mar-12 16:15:00 UTC,0.589,56.848
Jupiter Mars,540, 0540-May-22 23:39:00 UTC,0.142,54.077
Jupiter Mars,542, 0542-Aug-14 19:24:00 UTC,0.521,61.245
Jupiter Mars,544, 0544-Nov-18 01:57:00 UTC,1.104,89.507
Jupiter Mars,547, 0547-Jul-11 15:50:00 UTC,2.292,91.405
Jupiter Mars,549, 0549-Sep-14 03:05:00 UTC,2.601,92.46
Jupiter Mars,551, 0551-Nov-18 21:19:00 UTC,0.347,97.562
Jupiter Mars,554, 0554-Feb-17 23:35:00 UTC,2.087,78.709
Jupiter Mars,556, 0556-May-25 20:37:00 UTC,0.604,53.98
Jupiter Mars,558, 0558-Aug-16 05:54:00 UTC,0.918,39.644
Jupiter Mars,560, 0560-Oct-23 05:41:00 UTC,1.264,35.223
Jupiter Mars,562, 0562-Dec-29 13:45:00 UTC,0.106,35.837
Jupiter Mars,565, 0565-Mar-17 07:45:00 UTC,1.139,31.394
Jupiter Mars,567, 0567-Jun-15 09:46:00 UTC,0.774,17.384
Jupiter Mars,569, 0569-Sep-07 14:11:00 UTC,0.259,2.214
Jupiter Mars,571, 0571-Nov-20 01:46:00 UTC,0.837,7.685
Jupiter Mars,574, 0574-Jan-26 03:28:00 UTC,0.475,9.411
Jupiter Mars,576, 0576-Apr-08 22:25:00 UTC,0.489,9.409
Jupiter Mars,578, 0578-Jul-03 07:08:00 UTC,0.773,17.532
Jupiter Mars,580, 0580-Sep-27 23:50:00 UTC,0.269,34.569
Jupiter Mars,582, 0582-Dec-16 10:43:00 UTC,0.29,50.58
Jupiter Mars,585, 0585-Feb-24 05:55:00 UTC,0.592,55.937
Jupiter Mars,587, 0587-May-05 19:01:00 UTC,0.274,53.196
Jupiter Mars,589, 0589-Jul-24 11:54:00 UTC,0.41,56.751
Jupiter Mars,591, 0591-Oct-25 03:25:00 UTC,0.907,78.804
Jupiter Mars,594, 0594-Jun-21 11:04:00 UTC,1.833,96.8
Jupiter Mars,596, 0596-Aug-29 02:29:00 UTC,2.941,93.285
Jupiter Mars,598, 0598-Oct-30 10:05:00 UTC,0.583,100.829
Jupiter Mars,601, 0601-Jan-25 06:31:00 UTC,2.152,86.963
Jupiter Mars,603, 0603-May-05 17:37:00 UTC,1.028,60.055
Jupiter Mars,605, 0605-Jul-30 03:48:00 UTC,0.666,43.017
Jupiter Mars,607, 0607-Oct-09 04:00:00 UTC,1.339,36.69
Jupiter Mars,609, 0609-Dec-13 13:18:00 UTC,0.468,36.954
Jupiter Mars,612, 0612-Feb-27 01:43:00 UTC,0.998,34.518
Jupiter Mars,614, 0614-May-26 00:02:00 UTC,0.978,22.058
Jupiter Mars,616, 0616-Aug-20 11:23:00 UTC,0.047,6.187
Jupiter Mars,618, 0618-Nov-04 05:02:00 UTC,0.79,5.172
