Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Mercury,1, 0001-Sep-11 17:57:00 UTC,3.785,25.386
Jupiter Mercury,1, 0001-Oct-01 06:20:00 UTC,3.138,10.156
Jupiter Mercury,1, 0001-Nov-03 05:48:00 UTC,0.47,15.971
Jupiter Mercury,2, 0002-Nov-13 08:18:00 UTC,1.631,0.886
Jupiter Mercury,3, 0003-Nov-24 12:29:00 UTC,2.08,17.488
Jupiter Mercury,3, 0003-Dec-18 21:26:00 UTC,3.198,1.706
Jupiter Mercury,4, 0004-Jan-17 17:04:00 UTC,0.051,25.067
Jupiter Mercury,5, 0005-Jan-29 16:27:00 UTC,1.299,8.001
Jupiter Mercury,6, 0006-Feb-06 09:23:00 UTC,1.018,13.966
Jupiter Mercury,6, 0006-Mar-14 06:54:00 UTC,2.475,12.977
Jupiter Mercury,6, 0006-Apr-01 11:34:00 UTC,1.285,26.402
Jupiter Mercury,7, 0007-Apr-16 06:58:00 UTC,0.037,9.305
Jupiter Mercury,8, 0008-Apr-20 01:19:00 UTC,2.446,14.446
Jupiter Mercury,9, 0009-Jun-27 02:52:00 UTC,0.747,9.132
Jupiter Mercury,10, 0010-Jul-01 08:50:00 UTC,1.115,12.532
Jupiter Mercury,11, 0011-Jul-13 05:04:00 UTC,2.351,27.915
Jupiter Mercury,11, 0011-Aug-04 16:23:00 UTC,5.461,10.986
Jupiter Mercury,11, 0011-Sep-05 11:52:00 UTC,0.791,13.362
Jupiter Mercury,12, 0012-Sep-11 04:43:00 UTC,0.468,5.321
Jupiter Mercury,13, 0013-Sep-21 06:26:00 UTC,2.92,21.349
Jupiter Mercury,13, 0013-Oct-26 22:00:00 UTC,0.298,6.772
Jupiter Mercury,13, 0013-Nov-13 15:34:00 UTC,1.189,20.862
Jupiter Mercury,14, 0014-Nov-26 02:17:00 UTC,1.279,5.881
Jupiter Mercury,15, 0015-Dec-06 05:44:00 UTC,1.951,11.955
Jupiter Mercury,16, 0016-Jan-24 13:03:00 UTC,1.95,26.62
Jupiter Mercury,17, 0017-Feb-11 17:03:00 UTC,1.271,14.031
Jupiter Mercury,18, 0018-Feb-19 03:02:00 UTC,0.556,8.275
Jupiter Mercury,19, 0019-Apr-29 07:01:00 UTC,0.521,14.927
Jupiter Mercury,20, 0020-May-02 22:01:00 UTC,1.956,8.709
Jupiter Mercury,21, 0021-May-20 09:30:00 UTC,0.001,21.917
Jupiter Mercury,21, 0021-Jul-09 12:44:00 UTC,0.131,14.827
Jupiter Mercury,22, 0022-Jul-14 04:08:00 UTC,1.054,6.405
Jupiter Mercury,23, 0023-Jul-22 03:54:00 UTC,1.216,24.479
Jupiter Mercury,23, 0023-Sep-03 22:09:00 UTC,2.527,8.881
Jupiter Mercury,23, 0023-Sep-15 15:53:00 UTC,0.517,17.955
Jupiter Mercury,24, 0024-Sep-23 20:45:00 UTC,0.175,1.784
Jupiter Mercury,25, 0025-Oct-02 20:00:00 UTC,2.348,15.698
Jupiter Mercury,25, 0025-Nov-22 22:33:00 UTC,5.501,24.875
Jupiter Mercury,26, 0026-Dec-08 16:23:00 UTC,0.9,12.291
Jupiter Mercury,27, 0027-Dec-18 19:30:00 UTC,1.781,5.77
Jupiter Mercury,28, 0028-Dec-28 10:47:00 UTC,7.876,24.637
Jupiter Mercury,29, 0029-Feb-24 07:10:00 UTC,1.257,19.718
Jupiter Mercury,30, 0030-Mar-04 08:16:00 UTC,0.232,2.455
Jupiter Mercury,31, 0031-Mar-18 05:52:00 UTC,5.185,19.654
Jupiter Mercury,31, 0031-May-11 11:13:00 UTC,1.195,19.964
Jupiter Mercury,32, 0032-May-16 04:18:00 UTC,1.526,2.753
Jupiter Mercury,33, 0033-May-23 09:53:00 UTC,1.668,23.246
Jupiter Mercury,33, 0033-Jul-19 18:09:00 UTC,1.249,18.924
Jupiter Mercury,34, 0034-Jul-27 03:47:00 UTC,0.983,0.808
Jupiter Mercury,35, 0035-Aug-02 13:05:00 UTC,0.718,19.244
Jupiter Mercury,35, 0035-Sep-28 01:29:00 UTC,7.673,24.333
Jupiter Mercury,36, 0036-Oct-06 09:52:00 UTC,0.145,7.908
Jupiter Mercury,37, 0037-Oct-15 02:15:00 UTC,1.903,9.461
Jupiter Mercury,38, 0038-Nov-05 20:58:00 UTC,1.713,17.142
Jupiter Mercury,38, 0038-Dec-20 18:30:00 UTC,0.427,18.383
Jupiter Mercury,39, 0039-Dec-31 15:19:00 UTC,1.621,0.789
Jupiter Mercury,41, 0041-Jan-10 05:48:00 UTC,1.132,18.348
