Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Neptune,2, 0002-Nov-15 07:17:00 UTC,1.036,1.032
Jupiter Neptune,15, 0015-Apr-08 03:54:00 UTC,3.005,119.19
Jupiter Neptune,15, 0015-Nov-04 21:45:00 UTC,1.059,36.907
Jupiter Neptune,28, 0028-Feb-27 05:16:00 UTC,0.521,49.273
Jupiter Neptune,28, 0028-Sep-11 01:12:00 UTC,1.236,119.494
Jupiter Neptune,41, 0041-Feb-07 10:46:00 UTC,0.147,3.423
Jupiter Neptune,53, 0053-Jul-06 17:36:00 UTC,1.336,119.659
Jupiter Neptune,54, 0054-Jan-17 17:33:00 UTC,0.297,44.999
Jupiter Neptune,66, 0066-May-10 13:12:00 UTC,0.702,35.564
Jupiter Neptune,79, 0079-Apr-25 10:18:00 UTC,1.028,6.718
Jupiter Neptune,91, 0091-Sep-30 06:57:00 UTC,0.843,116.692
Jupiter Neptune,92, 0092-Apr-12 12:52:00 UTC,1.146,46.036
Jupiter Neptune,104, 0104-Aug-16 00:26:00 UTC,0.66,43.274
Jupiter Neptune,105, 0105-Mar-01 16:44:00 UTC,1.215,116.662
Jupiter Neptune,117, 0117-Aug-13 03:26:00 UTC,0.323,12.671
Jupiter Neptune,130, 0130-Aug-15 18:12:00 UTC,0.136,12.566
Jupiter Neptune,143, 0143-Jan-19 05:34:00 UTC,1.638,117.722
Jupiter Neptune,143, 0143-Aug-16 13:15:00 UTC,0.606,39.306
Jupiter Neptune,155, 0155-Dec-20 22:51:00 UTC,0.768,58.403
Jupiter Neptune,156, 0156-May-08 04:18:00 UTC,0.684,162.793
Jupiter Neptune,156, 0156-Aug-01 06:49:00 UTC,0.973,80.627
Jupiter Neptune,168, 0168-Dec-10 22:32:00 UTC,0.968,21.853
Jupiter Neptune,181, 0181-Dec-02 03:38:00 UTC,0.949,14.322
Jupiter Neptune,194, 0194-Apr-06 10:14:00 UTC,0.476,81.58
Jupiter Neptune,194, 0194-Jul-02 08:45:00 UTC,0.795,165.516
Jupiter Neptune,194, 0194-Nov-10 11:08:00 UTC,0.78,63.715
Jupiter Neptune,207, 0207-Mar-06 16:31:00 UTC,0.063,23.144
Jupiter Neptune,220, 0220-Feb-17 03:43:00 UTC,0.4,21.746
Jupiter Neptune,232, 0232-Jun-13 08:18:00 UTC,0.65,61.689
Jupiter Neptune,232, 0232-Oct-29 11:49:00 UTC,0.475,161.512
Jupiter Neptune,233, 0233-Jan-13 17:39:00 UTC,0.787,83.092
Jupiter Neptune,245, 0245-May-22 18:09:00 UTC,0.979,13.318
Jupiter Neptune,258, 0258-May-13 18:54:00 UTC,1.054,23.117
Jupiter Neptune,270, 0270-Sep-22 20:00:00 UTC,0.595,74.485
Jupiter Neptune,270, 0270-Dec-22 15:37:00 UTC,0.871,167.332
Jupiter Neptune,271, 0271-May-04 01:15:00 UTC,0.915,60.398
Jupiter Neptune,283, 0283-Sep-10 22:26:00 UTC,0.243,34.781
Jupiter Neptune,284, 0284-Apr-06 15:07:00 UTC,2.104,116.267
Jupiter Neptune,296, 0296-Sep-11 05:57:00 UTC,0.212,8.449
Jupiter Neptune,309, 0309-Sep-14 15:04:00 UTC,0.663,16.849
Jupiter Neptune,322, 0322-Feb-28 08:01:00 UTC,0.621,122.55
Jupiter Neptune,322, 0322-Sep-10 19:10:00 UTC,1.018,47.982
Jupiter Neptune,335, 0335-Jan-09 11:13:00 UTC,0.89,44.73
Jupiter Neptune,335, 0335-Jul-28 01:34:00 UTC,1.486,120.255
Jupiter Neptune,347, 0347-Dec-29 00:29:00 UTC,0.847,5.844
Jupiter Neptune,360, 0360-Dec-12 21:39:00 UTC,0.616,36.816
Jupiter Neptune,373, 0373-Apr-03 01:33:00 UTC,0.006,44.755
Jupiter Neptune,373, 0373-Oct-22 00:39:00 UTC,2.042,119.579
Jupiter Neptune,386, 0386-Mar-13 14:32:00 UTC,0.468,2.967
Jupiter Neptune,398, 0398-Aug-24 16:55:00 UTC,0.463,125.753
Jupiter Neptune,399, 0399-Feb-21 21:15:00 UTC,0.884,49.924
Jupiter Neptune,411, 0411-Jun-19 12:01:00 UTC,0.917,33.661
Jupiter Neptune,424, 0424-Jun-08 06:36:00 UTC,0.965,3.933
Jupiter Neptune,436, 0436-Nov-05 13:41:00 UTC,2.384,116.265
Jupiter Neptune,437, 0437-Jun-03 22:18:00 UTC,0.775,35.948
Jupiter Neptune,449, 0449-Oct-11 15:36:00 UTC,0.198,60.311
Jupiter Neptune,450, 0450-Feb-14 23:42:00 UTC,0.615,170.362
Jupiter Neptune,450, 0450-May-25 15:03:00 UTC,0.43,72.736
Jupiter Neptune,462, 0462-Oct-07 16:54:00 UTC,0.26,28.638
Jupiter Neptune,475, 0475-Oct-09 12:00:00 UTC,0.692,3.093
Jupiter Neptune,488, 0488-Oct-07 08:44:00 UTC,1.015,25.634
Jupiter Neptune,501, 0501-Feb-11 16:02:00 UTC,0.808,73.147
Jupiter Neptune,501, 0501-May-26 12:42:00 UTC,0.923,175.146
Jupiter Neptune,501, 0501-Sep-23 16:29:00 UTC,1.185,67.566
Jupiter Neptune,514, 0514-Jan-21 17:52:00 UTC,0.754,24.796
Jupiter Neptune,527, 0527-Jan-07 03:38:00 UTC,0.49,17.265
Jupiter Neptune,539, 0539-May-05 20:57:00 UTC,0.006,70.401
Jupiter Neptune,539, 0539-Aug-31 04:13:00 UTC,0.421,175.499
Jupiter Neptune,539, 0539-Dec-08 22:02:00 UTC,0.153,74.512
Jupiter Neptune,552, 0552-Apr-05 22:26:00 UTC,0.511,14.967
Jupiter Neptune,565, 0565-Mar-19 13:44:00 UTC,0.917,29.681
Jupiter Neptune,577, 0577-Jul-16 19:45:00 UTC,0.85,54.752
Jupiter Neptune,577, 0577-Dec-18 14:43:00 UTC,1.003,149.674
Jupiter Neptune,578, 0578-Feb-13 23:48:00 UTC,1.164,90.939
Jupiter Neptune,590, 0590-Jul-03 03:03:00 UTC,0.879,13.759
Jupiter Neptune,603, 0603-Jun-30 16:35:00 UTC,0.658,17.364
Jupiter Neptune,615, 0615-Dec-03 17:39:00 UTC,0.269,107.313
Jupiter Neptune,616, 0616-Jun-28 06:45:00 UTC,0.267,46.513
Jupiter Neptune,628, 0628-Nov-04 13:54:00 UTC,0.277,50.663
Jupiter Neptune,629, 0629-Apr-11 07:09:00 UTC,0.062,149.484
Jupiter Neptune,629, 0629-Jun-13 10:21:00 UTC,0.155,88.475
Jupiter Neptune,641, 0641-Nov-02 16:45:00 UTC,0.7,21.228
Jupiter Neptune,654, 0654-Nov-01 22:54:00 UTC,0.993,6.957
Jupiter Neptune,667, 0667-Apr-03 05:44:00 UTC,1.727,119.098
Jupiter Neptune,667, 0667-Oct-24 22:39:00 UTC,1.118,42.276
Jupiter Neptune,680, 0680-Feb-17 02:12:00 UTC,0.672,45.187
Jupiter Neptune,680, 0680-Sep-05 10:13:00 UTC,1.812,119.749
Jupiter Neptune,693, 0693-Jan-29 12:47:00 UTC,0.384,0.835
Jupiter Neptune,705, 0705-Jul-01 15:00:00 UTC,0.703,119.719
Jupiter Neptune,706, 0706-Jan-09 16:46:00 UTC,0.012,48.206
Jupiter Neptune,718, 0718-May-02 05:38:00 UTC,0.528,33.313
