Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Uranus,7, 0007-Jun-07 22:47:00 UTC,0.638,47.983
Jupiter Uranus,7, 0007-Dec-18 18:38:00 UTC,1.444,118.866
Jupiter Uranus,21, 0021-Jun-12 18:38:00 UTC,0.149,4.794
Jupiter Uranus,35, 0035-Aug-16 05:41:00 UTC,0.404,8.897
Jupiter Uranus,49, 0049-Oct-21 01:21:00 UTC,0.473,8.15
Jupiter Uranus,63, 0063-Apr-06 12:51:00 UTC,0.262,99.296
Jupiter Uranus,63, 0063-May-24 20:03:00 UTC,0.143,146.279
Jupiter Uranus,63, 0063-Oct-28 09:46:00 UTC,0.097,58.47
Jupiter Uranus,77, 0077-Feb-09 10:59:00 UTC,0.366,6.991
Jupiter Uranus,90, 0090-May-20 11:28:00 UTC,0.593,35.101
Jupiter Uranus,104, 0104-May-23 09:24:00 UTC,0.151,19.687
Jupiter Uranus,118, 0118-Jul-23 15:49:00 UTC,0.403,26.758
Jupiter Uranus,132, 0132-Sep-30 10:21:00 UTC,0.473,24.433
Jupiter Uranus,146, 0146-Mar-03 06:09:00 UTC,0.306,69.452
Jupiter Uranus,146, 0146-Jul-03 19:25:00 UTC,0.024,170.898
Jupiter Uranus,146, 0146-Oct-03 13:30:00 UTC,0.098,79.884
Jupiter Uranus,160, 0160-Jan-28 04:47:00 UTC,0.357,16.779
Jupiter Uranus,173, 0173-May-04 16:22:00 UTC,0.56,23.765
Jupiter Uranus,187, 0187-May-02 08:21:00 UTC,0.155,35.333
Jupiter Uranus,200, 0200-Dec-11 03:28:00 UTC,0.705,116.688
Jupiter Uranus,201, 0201-Jun-27 17:06:00 UTC,0.422,46.651
Jupiter Uranus,215, 0215-Feb-15 12:19:00 UTC,1.783,118.491
Jupiter Uranus,215, 0215-Sep-08 03:44:00 UTC,0.489,42.987
Jupiter Uranus,229, 0229-Feb-09 07:26:00 UTC,0.321,51.438
Jupiter Uranus,229, 0229-Aug-20 05:42:00 UTC,0.618,121.125
Jupiter Uranus,243, 0243-Jan-13 04:09:00 UTC,0.357,28.438
Jupiter Uranus,256, 0256-Apr-18 12:50:00 UTC,0.532,12.051
Jupiter Uranus,269, 0269-Sep-24 21:42:00 UTC,0.577,106.754
Jupiter Uranus,269, 0269-Oct-19 23:41:00 UTC,0.563,132.311
Jupiter Uranus,270, 0270-Apr-10 09:40:00 UTC,0.166,52.169
Jupiter Uranus,283, 0283-Oct-18 16:46:00 UTC,0.241,65.992
Jupiter Uranus,284, 0284-Feb-10 20:45:00 UTC,0.631,175.395
Jupiter Uranus,284, 0284-May-25 19:31:00 UTC,0.473,72.243
Jupiter Uranus,298, 0298-Jan-03 19:30:00 UTC,0.752,78.742
Jupiter Uranus,298, 0298-Apr-01 17:33:00 UTC,0.959,167.264
Jupiter Uranus,298, 0298-Aug-11 23:47:00 UTC,0.533,64.08
