Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Venus,1, 0001-Nov-04 21:52:00 UTC,0.26,17.303
Jupiter Venus,3, 0003-Jan-11 15:45:00 UTC,3.072,46.913
Jupiter Venus,3, 0003-Nov-17 09:12:00 UTC,1.214,23.15
Jupiter Venus,5, 0005-Feb-05 20:04:00 UTC,0.298,13.441
Jupiter Venus,6, 0006-Apr-24 17:55:00 UTC,0.342,43.735
Jupiter Venus,7, 0007-Feb-24 16:34:00 UTC,0.723,28.207
Jupiter Venus,8, 0008-May-17 13:19:00 UTC,0.209,5.559
Jupiter Venus,9, 0009-Aug-04 16:36:00 UTC,1.021,38.045
Jupiter Venus,10, 0010-Jun-01 17:41:00 UTC,1.279,34.591
Jupiter Venus,11, 0011-Aug-17 19:44:00 UTC,0.33,1.458
Jupiter Venus,12, 0012-Oct-31 20:49:00 UTC,0.631,34.985
Jupiter Venus,13, 0013-Aug-29 05:15:00 UTC,1.672,39.449
Jupiter Venus,14, 0014-Nov-13 00:21:00 UTC,0.549,4.509
Jupiter Venus,16, 0016-Jan-31 05:59:00 UTC,0.457,31.874
Jupiter Venus,16, 0016-Nov-30 21:04:00 UTC,1.301,42.799
Jupiter Venus,18, 0018-Feb-17 18:58:00 UTC,0.179,9.27
Jupiter Venus,19, 0019-May-12 13:03:00 UTC,0.476,24.539
Jupiter Venus,20, 0020-Mar-14 19:27:00 UTC,3.469,45.492
Jupiter Venus,20, 0020-Jun-19 12:09:00 UTC,4.297,25.895
Jupiter Venus,21, 0021-May-27 08:06:00 UTC,0.992,16.811
Jupiter Venus,22, 0022-Aug-15 04:29:00 UTC,0.185,17.672
Jupiter Venus,23, 0023-Jun-27 21:33:00 UTC,1.827,42.974
Jupiter Venus,23, 0023-Oct-21 12:17:00 UTC,0.486,46.802
Jupiter Venus,24, 0024-Aug-24 01:54:00 UTC,0.31,22.523
Jupiter Venus,25, 0025-Nov-09 17:58:00 UTC,0.145,14.305
Jupiter Venus,27, 0027-Jan-19 23:55:00 UTC,2.486,46.211
Jupiter Venus,27, 0027-Nov-22 23:33:00 UTC,1.271,26.157
Jupiter Venus,29, 0029-Feb-11 16:05:00 UTC,0.349,10.201
Jupiter Venus,30, 0030-May-02 09:46:00 UTC,0.649,41.461
Jupiter Venus,31, 0031-Mar-02 20:00:00 UTC,1.071,31.284
Jupiter Venus,32, 0032-May-22 23:04:00 UTC,0.36,2.239
Jupiter Venus,33, 0033-Aug-10 09:52:00 UTC,0.702,35.361
Jupiter Venus,34, 0034-Jun-07 08:26:00 UTC,1.137,37.309
Jupiter Venus,35, 0035-Aug-22 10:48:00 UTC,0.26,4.248
Jupiter Venus,36, 0036-Nov-05 22:47:00 UTC,0.648,32.279
Jupiter Venus,37, 0037-Sep-03 22:50:00 UTC,2.131,41.886
Jupiter Venus,38, 0038-Nov-18 00:12:00 UTC,0.686,7.539
Jupiter Venus,40, 0040-Feb-06 00:08:00 UTC,0.224,28.919
Jupiter Venus,40, 0040-Dec-07 21:05:00 UTC,0.924,44.871
Jupiter Venus,42, 0042-Feb-23 12:40:00 UTC,0.01,12.525
Jupiter Venus,43, 0043-May-18 10:09:00 UTC,0.363,21.291
Jupiter Venus,44, 0044-Mar-24 12:51:00 UTC,4.209,45.588
Jupiter Venus,44, 0044-May-26 12:54:00 UTC,0.493,1.235
Jupiter Venus,44, 0044-Jul-25 18:27:00 UTC,3.578,45.841
Jupiter Venus,45, 0045-Jun-01 14:11:00 UTC,1.049,20.015
Jupiter Venus,46, 0046-Aug-20 00:53:00 UTC,0.263,14.584
Jupiter Venus,47, 0047-Oct-29 02:43:00 UTC,0.223,46.153
Jupiter Venus,48, 0048-Aug-28 22:09:00 UTC,0.555,25.493
Jupiter Venus,49, 0049-Nov-14 13:00:00 UTC,0.015,11.304
Jupiter Venus,51, 0051-Jan-27 04:02:00 UTC,1.954,44.619
Jupiter Venus,51, 0051-Nov-28 12:59:00 UTC,1.278,29.093
Jupiter Venus,53, 0053-Feb-17 08:54:00 UTC,0.356,6.983
Jupiter Venus,54, 0054-May-09 12:38:00 UTC,0.796,38.863
Jupiter Venus,55, 0055-Mar-09 01:46:00 UTC,1.444,34.268
Jupiter Venus,56, 0056-May-28 08:05:00 UTC,0.503,1.174
Jupiter Venus,57, 0057-Aug-15 21:18:00 UTC,0.426,32.558
Jupiter Venus,58, 0058-Jun-13 02:54:00 UTC,0.905,39.848
Jupiter Venus,59, 0059-Aug-26 23:23:00 UTC,0.159,7.257
Jupiter Venus,60, 0060-Nov-10 20:10:00 UTC,0.615,29.519
Jupiter Venus,61, 0061-Sep-09 22:43:00 UTC,2.628,44.068
Jupiter Venus,62, 0062-Nov-23 03:17:00 UTC,0.809,10.598
Jupiter Venus,64, 0064-Feb-11 23:31:00 UTC,0.022,25.833
Jupiter Venus,64, 0064-Dec-15 21:53:00 UTC,0.292,46.474
Jupiter Venus,66, 0066-Mar-01 14:38:00 UTC,0.203,15.86
Jupiter Venus,67, 0067-May-24 08:48:00 UTC,0.222,17.96
