Planets,Years,Date,Angular Separation (deg),Elongation
Mercury Venus,1, 0001-Aug-08 14:23:00 UTC,0.202,9.741
Mercury Venus,1, 0001-Oct-10 13:39:00 UTC,0.29,10.756
Mercury Venus,1, 0001-Oct-31 06:05:00 UTC,1.319,17.312
Mercury Venus,3, 0003-Jul-29 07:20:00 UTC,1.566,25.103
Mercury Venus,3, 0003-Aug-25 12:25:00 UTC,4.595,17.173
Mercury Venus,3, 0003-Oct-21 12:01:00 UTC,0.198,0.514
Mercury Venus,3, 0003-Dec-29 00:32:00 UTC,3.732,20.017
Mercury Venus,4, 0004-Jan-19 23:15:00 UTC,0.403,24.477
Mercury Venus,5, 0005-Oct-10 15:26:00 UTC,1.571,16.513
Mercury Venus,5, 0005-Nov-12 06:16:00 UTC,0.96,8.025
Mercury Venus,6, 0006-Jan-12 13:17:00 UTC,0.958,7.242
Mercury Venus,6, 0006-Mar-20 19:39:00 UTC,0.596,21.381
Mercury Venus,6, 0006-Apr-09 23:14:00 UTC,1.879,25.579
Mercury Venus,8, 0008-Jan-01 07:18:00 UTC,0.565,11.928
Mercury Venus,8, 0008-Jan-26 18:41:00 UTC,4.684,7.385
Mercury Venus,8, 0008-Mar-31 10:01:00 UTC,0.67,8.252
Mercury Venus,10, 0010-Mar-16 00:57:00 UTC,0.895,10.205
Mercury Venus,10, 0010-Apr-25 05:22:00 UTC,0.899,0.945
Mercury Venus,10, 0010-Jun-08 23:53:00 UTC,0.54,12.035
Mercury Venus,12, 0012-May-22 16:49:00 UTC,0.78,5.582
Mercury Venus,12, 0012-Aug-08 15:36:00 UTC,1.648,18.002
Mercury Venus,14, 0014-May-09 23:34:00 UTC,1.28,22.169
Mercury Venus,14, 0014-Jun-06 20:34:00 UTC,3.981,14.644
Mercury Venus,14, 0014-Jul-28 08:26:00 UTC,0.601,3.641
Mercury Venus,16, 0016-Jul-12 04:06:00 UTC,0.355,13.929
Mercury Venus,16, 0016-Sep-07 21:14:00 UTC,2.624,5.827
Mercury Venus,16, 0016-Oct-02 20:14:00 UTC,1.046,13.429
Mercury Venus,18, 0018-Jul-05 07:27:00 UTC,2.286,27.313
Mercury Venus,18, 0018-Sep-20 14:58:00 UTC,0.002,3.676
Mercury Venus,18, 0018-Nov-26 18:06:00 UTC,3.083,16.794
Mercury Venus,18, 0018-Dec-16 23:06:00 UTC,1.146,21.968
Mercury Venus,20, 0020-Sep-09 00:48:00 UTC,1.549,20.001
Mercury Venus,20, 0020-Oct-12 11:19:00 UTC,1.491,10.324
Mercury Venus,20, 0020-Dec-09 06:50:00 UTC,0.724,5.29
Mercury Venus,21, 0021-Feb-13 11:14:00 UTC,3.052,21.052
Mercury Venus,21, 0021-Mar-10 17:52:00 UTC,1.077,25.598
Mercury Venus,22, 0022-Nov-29 14:17:00 UTC,1.241,13.21
Mercury Venus,22, 0022-Dec-26 15:42:00 UTC,3.698,7.711
Mercury Venus,23, 0023-Mar-02 04:10:00 UTC,0.85,7.751
Mercury Venus,23, 0023-May-21 13:44:00 UTC,4.935,22.335
Mercury Venus,25, 0025-Feb-15 01:50:00 UTC,0.546,11.16
Mercury Venus,25, 0025-Mar-17 06:18:00 UTC,3.348,4.658
Mercury Venus,25, 0025-May-12 20:36:00 UTC,0.507,9.77
Mercury Venus,27, 0027-Apr-26 12:48:00 UTC,0.929,8.093
Mercury Venus,27, 0027-Jun-26 08:52:00 UTC,5.282,11.02
Mercury Venus,27, 0027-Jul-17 12:18:00 UTC,0.701,16.037
Mercury Venus,29, 0029-Apr-20 22:34:00 UTC,2.542,20.843
Mercury Venus,29, 0029-Jul-01 15:20:00 UTC,0.615,1.829
Mercury Venus,29, 0029-Sep-20 17:17:00 UTC,8.7,17.896
Mercury Venus,31, 0031-Jun-16 14:10:00 UTC,0.609,17.816
Mercury Venus,31, 0031-Aug-05 04:58:00 UTC,5.235,4.2
