Planets,Years,Date,Angular Separation (deg),Elongation
Mercury Neptune,1, 0001-Nov-19 14:18:00 UTC,2.011,7.572
Mercury Neptune,2, 0002-Nov-13 13:26:00 UTC,2.685,1.285
Mercury Neptune,3, 0003-Nov-07 13:36:00 UTC,3.268,9.078
Mercury Neptune,4, 0004-Nov-01 03:41:00 UTC,3.765,16.756
Mercury Neptune,4, 0004-Dec-12 18:03:00 UTC,4.256,20.395
Mercury Neptune,5, 0005-Oct-30 00:46:00 UTC,3.864,21.582
Mercury Neptune,5, 0005-Nov-12 09:19:00 UTC,1.077,7.756
Mercury Neptune,5, 0005-Dec-12 21:28:00 UTC,0.42,22.017
Mercury Neptune,6, 0006-Dec-08 10:08:00 UTC,1.528,15.329
Mercury Neptune,7, 0007-Dec-02 17:05:00 UTC,2.269,7.453
Mercury Neptune,8, 0008-Nov-25 15:09:00 UTC,2.829,1.759
Mercury Neptune,9, 0009-Nov-19 14:21:00 UTC,3.258,9.433
Mercury Neptune,10, 0010-Nov-14 06:18:00 UTC,3.511,17.062
Mercury Neptune,10, 0010-Dec-25 03:25:00 UTC,1.643,22.682
Mercury Neptune,11, 0011-Nov-18 13:15:00 UTC,1.637,14.202
Mercury Neptune,11, 0011-Dec-26 08:11:00 UTC,0.815,22.182
Mercury Neptune,12, 0012-Dec-20 14:22:00 UTC,1.785,15.237
Mercury Neptune,13, 0013-Dec-14 18:55:00 UTC,2.394,7.284
Mercury Neptune,14, 0014-Dec-08 14:48:00 UTC,2.802,2.221
Mercury Neptune,15, 0015-Dec-02 12:10:00 UTC,3.037,9.928
Mercury Neptune,16, 0016-Nov-26 06:43:00 UTC,2.968,17.47
Mercury Neptune,16, 0016-Dec-25 04:24:00 UTC,2.679,11.701
Mercury Neptune,17, 0017-Jan-09 02:09:00 UTC,0.686,25.629
Mercury Neptune,17, 0017-Nov-25 06:30:00 UTC,4.158,16.604
Mercury Neptune,18, 0018-Jan-07 18:22:00 UTC,1.145,22.205
Mercury Neptune,19, 0019-Jan-02 18:19:00 UTC,1.931,15.014
Mercury Neptune,19, 0019-Dec-27 19:02:00 UTC,2.37,6.955
Mercury Neptune,20, 0020-Dec-20 11:15:00 UTC,2.595,2.723
Mercury Neptune,21, 0021-Dec-14 05:45:00 UTC,2.598,10.596
Mercury Neptune,22, 0022-Dec-09 04:35:00 UTC,2.116,17.931
Mercury Neptune,22, 0022-Dec-31 23:45:00 UTC,3.128,5.736
Mercury Neptune,23, 0023-Jan-23 13:41:00 UTC,0.034,26.69
Mercury Neptune,23, 0023-Dec-04 20:32:00 UTC,7.745,16.563
Mercury Neptune,24, 0024-Jan-21 01:55:00 UTC,1.376,22.05
Mercury Neptune,25, 0025-Jan-14 19:22:00 UTC,1.945,14.612
Mercury Neptune,26, 0026-Jan-08 15:17:00 UTC,2.19,6.414
Mercury Neptune,27, 0027-Jan-02 03:07:00 UTC,2.207,3.344
Mercury Neptune,27, 0027-Dec-26 18:38:00 UTC,1.946,11.457
Mercury Neptune,28, 0028-Feb-08 07:31:00 UTC,8.711,22.606
Mercury Neptune,28, 0028-Dec-21 02:56:00 UTC,0.927,18.333
Mercury Neptune,29, 0029-Jan-07 02:15:00 UTC,3.456,3.989
Mercury Neptune,29, 0029-Feb-05 12:50:00 UTC,0.474,27.062
Mercury Neptune,30, 0030-Feb-02 07:06:00 UTC,1.493,21.636
Mercury Neptune,31, 0031-Jan-27 17:42:00 UTC,1.823,13.935
Mercury Neptune,32, 0032-Jan-21 07:53:00 UTC,1.855,5.578
Mercury Neptune,33, 0033-Jan-13 14:34:00 UTC,1.649,4.203
Mercury Neptune,34, 0034-Jan-07 03:15:00 UTC,1.099,12.527
Mercury Neptune,34, 0034-Feb-18 06:31:00 UTC,5.858,22.751
Mercury Neptune,35, 0035-Jan-03 06:57:00 UTC,0.658,18.317
Mercury Neptune,35, 0035-Jan-12 18:44:00 UTC,3.477,10.808
Mercury Neptune,35, 0035-Feb-19 04:11:00 UTC,0.848,26.958
Mercury Neptune,36, 0036-Feb-15 07:57:00 UTC,1.483,20.941
Mercury Neptune,37, 0037-Feb-08 11:08:00 UTC,1.563,12.983
Mercury Neptune,38, 0038-Feb-01 19:13:00 UTC,1.376,4.465
Mercury Neptune,39, 0039-Jan-25 20:49:00 UTC,0.941,5.34
Mercury Neptune,40, 0040-Jan-19 08:14:00 UTC,0.088,13.779
Mercury Neptune,40, 0040-Feb-29 13:43:00 UTC,3.267,22.893
Mercury Neptune,41, 0041-Jan-15 15:42:00 UTC,2.894,17.2
Mercury Neptune,41, 0041-Mar-03 13:37:00 UTC,1.085,26.443
Mercury Neptune,42, 0042-Feb-27 05:10:00 UTC,1.345,19.919
Mercury Neptune,43, 0043-Feb-21 00:45:00 UTC,1.173,11.69
Mercury Neptune,44, 0044-Feb-14 02:25:00 UTC,0.768,3.058
Mercury Neptune,45, 0045-Feb-05 23:16:00 UTC,0.111,6.805
Mercury Neptune,46, 0046-Jan-30 11:58:00 UTC,1.044,15.183
Mercury Neptune,46, 0046-Mar-13 03:28:00 UTC,1.043,23.695
Mercury Neptune,47, 0047-Jan-27 04:41:00 UTC,5.962,16.273
Mercury Neptune,47, 0047-Mar-16 17:44:00 UTC,1.179,25.549
Mercury Neptune,48, 0048-Mar-10 21:27:00 UTC,1.081,18.591
Mercury Neptune,49, 0049-Mar-04 09:14:00 UTC,0.67,10.098
Mercury Neptune,50, 0050-Feb-25 04:41:00 UTC,0.065,1.59
Mercury Neptune,51, 0051-Feb-17 21:59:00 UTC,0.791,8.536
Mercury Neptune,52, 0052-Feb-11 16:27:00 UTC,2.222,16.635
Mercury Neptune,52, 0052-Mar-27 03:21:00 UTC,0.316,25.268
Mercury Neptune,53, 0053-Mar-28 16:53:00 UTC,1.129,24.316
Mercury Neptune,54, 0054-Mar-23 09:36:00 UTC,0.701,16.944
Mercury Neptune,55, 0055-Mar-16 13:41:00 UTC,0.076,8.19
Mercury Neptune,56, 0056-Mar-08 03:35:00 UTC,0.697,1.588
Mercury Neptune,57, 0057-Feb-28 19:19:00 UTC,1.714,10.517
Mercury Neptune,58, 0058-Feb-23 02:36:00 UTC,3.356,18.039
Mercury Neptune,58, 0058-Mar-23 00:56:00 UTC,3.021,9.123
Mercury Neptune,58, 0058-Apr-10 19:15:00 UTC,1.054,25.609
Mercury Neptune,59, 0059-Apr-10 11:26:00 UTC,0.938,22.78
Mercury Neptune,60, 0060-Apr-03 17:03:00 UTC,0.226,15.027
Mercury Neptune,61, 0061-Mar-27 13:42:00 UTC,0.569,6.035
Mercury Neptune,62, 0062-Mar-19 23:13:00 UTC,1.464,3.514
Mercury Neptune,63, 0063-Mar-12 16:00:00 UTC,2.577,12.63
Mercury Neptune,64, 0064-Mar-06 23:31:00 UTC,4.297,19.196
Mercury Neptune,64, 0064-Mar-30 05:40:00 UTC,3.172,3.478
Mercury Neptune,64, 0064-Apr-23 18:40:00 UTC,1.412,25.099
Mercury Neptune,65, 0065-Apr-22 01:16:00 UTC,0.617,20.989
Mercury Neptune,66, 0066-Apr-15 20:18:00 UTC,0.313,12.867
Mercury Neptune,67, 0067-Apr-08 10:31:00 UTC,1.222,3.657
Mercury Neptune,68, 0068-Mar-30 17:36:00 UTC,2.179,5.875
Mercury Neptune,69, 0069-Mar-23 15:02:00 UTC,3.303,14.841
Mercury Neptune,70, 0070-Mar-20 23:36:00 UTC,4.854,19.738
Mercury Neptune,70, 0070-Apr-07 18:05:00 UTC,3.17,2.386
Mercury Neptune,70, 0070-May-07 09:59:00 UTC,1.465,24.12
Mercury Neptune,71, 0071-May-04 11:05:00 UTC,0.19,18.97
Mercury Neptune,72, 0072-Apr-26 19:53:00 UTC,0.876,10.507
Mercury Neptune,73, 0073-Apr-19 04:55:00 UTC,1.829,1.127
Mercury Neptune,74, 0074-Apr-11 11:40:00 UTC,2.772,8.368
Mercury Neptune,75, 0075-Apr-04 17:17:00 UTC,3.799,17.024
Mercury Neptune,76, 0076-Apr-15 08:35:00 UTC,3.12,7.379
Mercury Neptune,76, 0076-May-19 16:43:00 UTC,1.252,22.827
Mercury Neptune,77, 0077-May-15 16:19:00 UTC,0.3,16.788
Mercury Neptune,78, 0078-May-08 16:17:00 UTC,1.408,8.015
Mercury Neptune,79, 0079-Apr-30 22:12:00 UTC,2.331,1.554
Mercury Neptune,80, 0080-Apr-22 07:26:00 UTC,3.181,10.913
Mercury Neptune,81, 0081-Apr-16 01:19:00 UTC,3.994,19.158
Mercury Neptune,82, 0082-Apr-24 00:45:00 UTC,3.32,12.005
Mercury Neptune,82, 0082-Jun-01 17:34:00 UTC,0.825,21.297
Mercury Neptune,83, 0083-May-27 18:20:00 UTC,0.803,14.445
Mercury Neptune,84, 0084-May-19 11:05:00 UTC,1.858,5.43
Mercury Neptune,85, 0085-May-11 15:55:00 UTC,2.674,4.222
Mercury Neptune,86, 0086-May-04 05:47:00 UTC,3.352,13.4
Mercury Neptune,87, 0087-Apr-28 14:04:00 UTC,3.835,21.124
Mercury Neptune,87, 0087-Jun-15 22:50:00 UTC,8.05,16.241
Mercury Neptune,88, 0088-May-02 20:39:00 UTC,4.059,14.899
Mercury Neptune,88, 0088-Jun-13 10:44:00 UTC,0.28,19.582
Mercury Neptune,89, 0089-Jun-07 16:51:00 UTC,1.25,12.031
Mercury Neptune,90, 0090-May-31 04:48:00 UTC,2.168,2.937
Mercury Neptune,91, 0091-May-23 11:02:00 UTC,2.812,6.836
Mercury Neptune,92, 0092-May-15 07:51:00 UTC,3.253,15.777
Mercury Neptune,93, 0093-May-10 08:12:00 UTC,3.315,22.906
Mercury Neptune,93, 0093-Jun-26 23:29:00 UTC,5.626,16.391
Mercury Neptune,94, 0094-May-13 12:47:00 UTC,5.396,16.792
Mercury Neptune,94, 0094-Jun-25 22:19:00 UTC,0.286,17.69
Mercury Neptune,95, 0095-Jun-19 13:44:00 UTC,1.586,9.571
Mercury Neptune,96, 0096-Jun-10 23:23:00 UTC,2.298,1.332
Mercury Neptune,97, 0097-Jun-03 08:55:00 UTC,2.721,9.328
Mercury Neptune,98, 0098-May-27 13:31:00 UTC,2.88,17.956
Mercury Neptune,99, 0099-May-23 05:19:00 UTC,2.471,24.436
Mercury Neptune,99, 0099-Jul-09 07:55:00 UTC,3.237,16.936
Mercury Neptune,100, 0100-May-24 12:48:00 UTC,7.086,18.284
Mercury Neptune,100, 0100-Jul-08 04:07:00 UTC,0.766,15.692
Mercury Neptune,101, 0101-Jul-01 09:25:00 UTC,1.756,7.193
Mercury Neptune,102, 0102-Jun-23 19:17:00 UTC,2.226,2.786
Mercury Neptune,103, 0103-Jun-16 09:49:00 UTC,2.401,11.612
Mercury Neptune,104, 0104-Jun-08 23:03:00 UTC,2.258,19.904
Mercury Neptune,105, 0105-Jun-05 06:17:00 UTC,1.364,25.697
Mercury Neptune,105, 0105-Jul-23 04:13:00 UTC,1.356,18.067
Mercury Neptune,106, 0106-Jul-20 06:36:00 UTC,1.089,13.632
Mercury Neptune,107, 0107-Jul-13 06:07:00 UTC,1.74,4.969
Mercury Neptune,108, 0108-Jul-04 18:25:00 UTC,1.951,4.906
Mercury Neptune,109, 0109-Jun-27 14:48:00 UTC,1.872,13.663
Mercury Neptune,110, 0110-Jun-21 12:29:00 UTC,1.432,21.587
Mercury Neptune,111, 0111-Jun-18 11:03:00 UTC,0.076,26.632
Mercury Neptune,111, 0111-Jul-21 11:02:00 UTC,4.401,6.326
Mercury Neptune,111, 0111-Aug-05 22:12:00 UTC,0.223,18.086
Mercury Neptune,112, 0112-Jul-31 07:04:00 UTC,1.216,11.618
Mercury Neptune,113, 0113-Jul-24 04:22:00 UTC,1.535,3.081
Mercury Neptune,114, 0114-Jul-16 20:34:00 UTC,1.493,6.851
Mercury Neptune,115, 0115-Jul-09 23:28:00 UTC,1.174,15.42
Mercury Neptune,116, 0116-Jul-03 06:00:00 UTC,0.459,22.985
Mercury Neptune,117, 0117-Jun-30 22:08:00 UTC,1.327,27.176
Mercury Neptune,117, 0117-Jul-27 04:19:00 UTC,4.981,5.211
Mercury Neptune,117, 0117-Aug-17 21:46:00 UTC,0.413,17.195
Mercury Neptune,118, 0118-Aug-12 08:03:00 UTC,1.142,9.721
Mercury Neptune,119, 0119-Aug-05 06:12:00 UTC,1.159,1.87
Mercury Neptune,120, 0120-Jul-28 03:25:00 UTC,0.887,8.564
Mercury Neptune,121, 0121-Jul-21 13:03:00 UTC,0.352,16.907
Mercury Neptune,122, 0122-Jul-16 04:27:00 UTC,0.599,24.094
Mercury Neptune,122, 0122-Sep-03 14:24:00 UTC,6.731,15.427
Mercury Neptune,123, 0123-Jul-14 18:56:00 UTC,2.778,27.167
Mercury Neptune,123, 0123-Aug-03 00:31:00 UTC,5.346,10.772
Mercury Neptune,123, 0123-Aug-30 11:49:00 UTC,0.68,15.962
Mercury Neptune,124, 0124-Aug-23 10:52:00 UTC,0.887,8.011
Mercury Neptune,125, 0125-Aug-16 11:31:00 UTC,0.648,1.992
Mercury Neptune,126, 0126-Aug-09 14:04:00 UTC,0.18,9.962
Mercury Neptune,127, 0127-Aug-03 06:30:00 UTC,0.532,18.078
