Planets,Years,Date,Angular Separation (deg),Elongation
Mercury Venus,1, 0001-Apr-03 11:02:00 UTC,1.063,12.438
Mercury Venus,2, 0002-Mar-27 19:56:00 UTC,0.163,2.435
Mercury Venus,3, 0003-Mar-20 22:40:00 UTC,0.893,7.948
Mercury Venus,4, 0004-Mar-14 05:15:00 UTC,2.294,17.183
Mercury Venus,4, 0004-Apr-25 16:03:00 UTC,4.97,17.07
Mercury Venus,5, 0005-May-01 17:05:00 UTC,2.193,22.628
Mercury Venus,6, 0006-Apr-27 03:13:00 UTC,1.01,14.379
Mercury Venus,7, 0007-Apr-20 13:50:00 UTC,0.06,4.361
Mercury Venus,8, 0008-Apr-12 13:36:00 UTC,1.097,6.09
Mercury Venus,9, 0009-Apr-06 07:53:00 UTC,2.191,15.91
Mercury Venus,10, 0010-Apr-06 23:21:00 UTC,3.115,20.058
Mercury Venus,10, 0010-Apr-21 03:06:00 UTC,0.704,6.46
Mercury Venus,10, 0010-May-23 21:49:00 UTC,2.737,22.491
Mercury Venus,11, 0011-May-20 21:38:00 UTC,0.935,15.675
Mercury Venus,12, 0012-May-13 13:04:00 UTC,0.284,5.817
Mercury Venus,13, 0013-May-06 12:59:00 UTC,1.247,4.774
Mercury Venus,14, 0014-Apr-30 02:17:00 UTC,2.044,14.832
Mercury Venus,15, 0015-Apr-26 14:03:00 UTC,2.481,22.464
Mercury Venus,15, 0015-Jun-13 00:46:00 UTC,4.027,18.939
Mercury Venus,16, 0016-Jun-12 19:15:00 UTC,0.792,16.434
Mercury Venus,17, 0017-Jun-06 19:04:00 UTC,0.523,6.831
Mercury Venus,18, 0018-May-30 22:19:00 UTC,1.33,3.956
Mercury Venus,19, 0019-May-24 12:08:00 UTC,1.805,14.017
Mercury Venus,20, 0020-May-19 00:33:00 UTC,1.796,22.554
Mercury Venus,21, 0021-May-23 20:46:00 UTC,3.172,19.584
Mercury Venus,21, 0021-Jul-06 22:59:00 UTC,0.518,16.771
Mercury Venus,22, 0022-Jul-01 10:31:00 UTC,0.773,7.499
Mercury Venus,23, 0023-Jun-24 20:09:00 UTC,1.322,3.476
Mercury Venus,24, 0024-Jun-17 14:25:00 UTC,1.445,13.346
Mercury Venus,25, 0025-Jun-12 19:19:00 UTC,1.053,22.186
Mercury Venus,26, 0026-Jun-13 03:15:00 UTC,0.952,26.14
Mercury Venus,26, 0026-Jul-02 08:43:00 UTC,5.047,11.023
Mercury Venus,26, 0026-Jul-31 09:50:00 UTC,0.086,16.955
Mercury Venus,27, 0027-Jul-26 12:01:00 UTC,0.99,8.087
Mercury Venus,28, 0028-Jul-19 06:31:00 UTC,1.194,2.953
Mercury Venus,29, 0029-Jul-13 07:46:00 UTC,0.968,12.48
Mercury Venus,30, 0030-Jul-08 12:13:00 UTC,0.272,21.371
Mercury Venus,31, 0031-Jul-06 20:59:00 UTC,1.458,27.24
Mercury Venus,31, 0031-Aug-06 02:21:00 UTC,4.665,3.959
Mercury Venus,31, 0031-Aug-25 03:38:00 UTC,0.47,17.294
Mercury Venus,32, 0032-Aug-19 23:52:00 UTC,1.12,8.888
