Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Jupiter ,14, 0014-Dec-24 21:04:00 UTC,0.892,28.804
Saturn Jupiter ,34, 0034-Oct-03 08:43:00 UTC,0.445,53.279
Saturn Jupiter ,35, 0035-Mar-31 19:05:00 UTC,0.443,122.566
Saturn Jupiter ,54, 0054-Mar-24 05:30:00 UTC,1.108,5.384
Saturn Jupiter ,74, 0074-Mar-30 08:09:00 UTC,3.719,117.264
Saturn Jupiter ,74, 0074-Oct-27 10:21:00 UTC,0.848,35.546
Saturn Jupiter ,94, 0094-Aug-19 11:47:00 UTC,0.647,1.939
Saturn Jupiter ,113, 0113-Aug-06 20:13:00 UTC,1.293,122.569
Saturn Jupiter ,114, 0114-Jan-28 13:14:00 UTC,1.238,57.557
Saturn Jupiter ,134, 0134-Jan-19 01:21:00 UTC,0.641,38.011
Saturn Jupiter ,134, 0134-Aug-15 05:41:00 UTC,3.6,117.897
Saturn Jupiter ,153, 0153-Dec-27 12:07:00 UTC,1.133,119.951
Saturn Jupiter ,154, 0154-Jul-07 02:21:00 UTC,0.833,49.741
Saturn Jupiter ,173, 0173-May-07 07:50:00 UTC,1.187,25.756
Saturn Jupiter ,193, 0193-Nov-21 05:52:00 UTC,0.551,26.713
Saturn Jupiter ,213, 0213-Oct-11 09:59:00 UTC,0.933,31.474
Saturn Jupiter ,214, 0214-May-11 07:15:00 UTC,2.984,115.702
Saturn Jupiter ,233, 0233-Mar-20 17:15:00 UTC,1.232,29.08
Saturn Jupiter ,253, 0253-Feb-13 15:17:00 UTC,0.344,47.209
Saturn Jupiter ,253, 0253-Aug-28 11:30:00 UTC,2.402,120.451
Saturn Jupiter ,273, 0273-Aug-27 05:51:00 UTC,1.071,20.466
Saturn Jupiter ,292, 0292-Jun-27 06:59:00 UTC,1.13,52.065
Saturn Jupiter ,292, 0292-Dec-29 03:51:00 UTC,1.75,120.624
Saturn Jupiter ,312, 0312-Dec-14 17:26:00 UTC,0.222,20.078
Saturn Jupiter ,332, 0332-Nov-29 02:01:00 UTC,1.11,61.545
Saturn Jupiter ,333, 0333-Apr-22 23:08:00 UTC,1.162,150.58
Saturn Jupiter ,333, 0333-Jun-16 13:34:00 UTC,1.203,97.289
Saturn Jupiter ,352, 0352-May-07 21:27:00 UTC,1.074,5.05
Saturn Jupiter ,372, 0372-Mar-07 15:03:00 UTC,0.031,53.017
Saturn Jupiter ,372, 0372-Sep-11 13:21:00 UTC,1.673,122.032
Saturn Jupiter ,392, 0392-Oct-04 00:30:00 UTC,1.189,2.61
