Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Mars,1, 0001-Apr-17 04:57:00 UTC,2.037,47.3
Saturn Mars,3, 0003-May-11 15:48:00 UTC,1.065,51.937
Saturn Mars,5, 0005-Jun-02 04:24:00 UTC,0.162,57.351
Saturn Mars,7, 0007-Jun-20 12:36:00 UTC,1.422,65.24
Saturn Mars,9, 0009-Jul-01 22:44:00 UTC,2.624,77.333
Saturn Mars,11, 0011-Mar-03 08:52:00 UTC,3.167,137.887
Saturn Mars,11, 0011-Jul-03 08:29:00 UTC,3.942,98.961
Saturn Mars,13, 0013-Feb-08 00:21:00 UTC,0.994,92.223
Saturn Mars,15, 0015-Feb-08 13:16:00 UTC,1.219,70.86
Saturn Mars,17, 0017-Feb-11 22:48:00 UTC,1.025,53.503
Saturn Mars,19, 0019-Feb-18 03:34:00 UTC,0.515,37.6
Saturn Mars,21, 0021-Feb-25 01:11:00 UTC,0.214,22.631
Saturn Mars,23, 0023-Mar-07 06:51:00 UTC,1.033,8.893
Saturn Mars,25, 0025-Mar-19 18:20:00 UTC,1.761,4.304
Saturn Mars,27, 0027-Apr-06 06:29:00 UTC,2.178,13.803
Saturn Mars,29, 0029-Apr-26 19:32:00 UTC,2.097,21.062
Saturn Mars,31, 0031-May-21 00:49:00 UTC,1.489,26.238
Saturn Mars,33, 0033-Jun-13 09:52:00 UTC,0.513,30.693
Saturn Mars,35, 0035-Jul-05 09:38:00 UTC,0.591,36.015
Saturn Mars,37, 0037-Jul-22 12:52:00 UTC,1.628,43.376
Saturn Mars,39, 0039-Aug-05 05:31:00 UTC,2.499,53.514
Saturn Mars,41, 0041-Aug-13 01:48:00 UTC,3.205,67.292
Saturn Mars,43, 0043-Aug-14 17:37:00 UTC,3.961,87.586
Saturn Mars,45, 0045-Mar-25 22:06:00 UTC,1.277,108.153
Saturn Mars,47, 0047-Mar-17 11:52:00 UTC,0.931,77.521
Saturn Mars,49, 0049-Mar-19 13:09:00 UTC,0.393,57.893
Saturn Mars,51, 0051-Mar-26 18:24:00 UTC,0.335,41.505
Saturn Mars,53, 0053-Apr-05 08:48:00 UTC,1.102,27.19
Saturn Mars,55, 0055-Apr-19 16:55:00 UTC,1.713,15.072
Saturn Mars,57, 0057-May-07 05:03:00 UTC,1.966,5.611
Saturn Mars,59, 0059-May-29 10:49:00 UTC,1.736,1.98
Saturn Mars,61, 0061-Jun-21 16:17:00 UTC,1.058,6.644
Saturn Mars,63, 0063-Jul-15 08:26:00 UTC,0.12,11.16
Saturn Mars,65, 0065-Aug-04 08:17:00 UTC,0.858,16.631
Saturn Mars,67, 0067-Aug-21 14:23:00 UTC,1.708,23.971
Saturn Mars,69, 0069-Sep-02 22:53:00 UTC,2.339,33.662
Saturn Mars,71, 0071-Sep-12 16:30:00 UTC,2.72,45.945
Saturn Mars,73, 0073-Sep-17 22:30:00 UTC,2.866,61.253
Saturn Mars,75, 0075-Sep-19 05:46:00 UTC,2.912,81.635
Saturn Mars,77, 0077-May-15 02:47:00 UTC,2.718,127.361
Saturn Mars,79, 0079-Apr-23 05:52:00 UTC,0.634,82.412
Saturn Mars,81, 0081-Apr-25 20:59:00 UTC,0.257,61.739
Saturn Mars,83, 0083-May-05 22:26:00 UTC,1.044,46.064
Saturn Mars,85, 0085-May-19 18:11:00 UTC,1.593,33.586
Saturn Mars,87, 0087-Jun-07 23:22:00 UTC,1.74,24.149
Saturn Mars,89, 0089-Jun-29 15:11:00 UTC,1.417,17.503
Saturn Mars,91, 0091-Jul-23 16:13:00 UTC,0.715,12.713
Saturn Mars,93, 0093-Aug-14 13:55:00 UTC,0.167,8.317
Saturn Mars,95, 0095-Sep-03 12:38:00 UTC,1.026,3.286
Saturn Mars,97, 0097-Sep-18 20:14:00 UTC,1.722,5.437
Saturn Mars,99, 0099-Oct-01 14:52:00 UTC,2.176,14.801
Saturn Mars,101, 0101-Oct-11 08:12:00 UTC,2.351,26.576
Saturn Mars,103, 0103-Oct-18 15:53:00 UTC,2.234,40.475
Saturn Mars,105, 0105-Oct-22 22:48:00 UTC,1.825,56.648
Saturn Mars,107, 0107-Oct-25 08:10:00 UTC,1.168,76.525
