Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Mercury,1, 0001-May-14 17:13:00 UTC,2.366,24.12
Saturn Mercury,1, 0001-Jun-12 19:38:00 UTC,3.858,0.634
Saturn Mercury,1, 0001-Jul-06 03:32:00 UTC,0.708,19.159
Saturn Mercury,2, 0002-Jul-06 04:43:00 UTC,1.307,6.776
Saturn Mercury,3, 0003-Jul-03 12:25:00 UTC,1.339,7.652
Saturn Mercury,4, 0004-Jul-01 09:44:00 UTC,0.236,20.589
Saturn Mercury,5, 0005-Jul-06 18:50:00 UTC,3.232,27.904
Saturn Mercury,5, 0005-Aug-25 06:58:00 UTC,0.212,14.085
Saturn Mercury,6, 0006-Aug-23 15:54:00 UTC,0.155,2.191
Saturn Mercury,7, 0007-Aug-21 22:49:00 UTC,1.346,11.575
Saturn Mercury,8, 0008-Aug-20 22:48:00 UTC,3.125,22.443
Saturn Mercury,8, 0008-Oct-08 06:07:00 UTC,3.146,20.015
Saturn Mercury,9, 0009-Aug-29 01:41:00 UTC,6.741,26.154
Saturn Mercury,9, 0009-Oct-12 02:38:00 UTC,0.65,12.86
Saturn Mercury,10, 0010-Oct-11 01:34:00 UTC,1.853,2.608
Saturn Mercury,11, 0011-Oct-10 00:46:00 UTC,3.063,10.235
Saturn Mercury,12, 0012-Oct-09 08:10:00 UTC,4.197,20.067
Saturn Mercury,12, 0012-Nov-14 09:31:00 UTC,0.617,12.555
Saturn Mercury,12, 0012-Nov-25 00:31:00 UTC,0.567,22.114
Saturn Mercury,13, 0013-Oct-13 09:05:00 UTC,8.434,26.626
Saturn Mercury,13, 0013-Nov-28 19:35:00 UTC,1.332,15.38
Saturn Mercury,14, 0014-Nov-28 05:37:00 UTC,2.356,4.815
Saturn Mercury,15, 0015-Nov-27 02:11:00 UTC,2.87,6.615
Saturn Mercury,16, 0016-Nov-25 19:00:00 UTC,2.656,17.051
Saturn Mercury,16, 0016-Dec-23 14:14:00 UTC,3.004,8.065
Saturn Mercury,17, 0017-Jan-12 15:45:00 UTC,0.438,26.112
Saturn Mercury,18, 0018-Jan-15 21:51:00 UTC,1.284,18.611
Saturn Mercury,19, 0019-Jan-15 03:01:00 UTC,1.544,7.397
Saturn Mercury,20, 0020-Jan-13 04:36:00 UTC,0.988,5.096
Saturn Mercury,21, 0021-Jan-11 02:11:00 UTC,0.872,16.963
Saturn Mercury,21, 0021-Feb-02 11:26:00 UTC,5.119,3.168
Saturn Mercury,21, 0021-Mar-02 19:06:00 UTC,0.116,27.627
Saturn Mercury,22, 0022-Mar-05 14:23:00 UTC,0.576,18.801
Saturn Mercury,23, 0023-Mar-03 22:46:00 UTC,0.308,6.139
Saturn Mercury,24, 0024-Feb-29 02:19:00 UTC,1.915,8.663
Saturn Mercury,25, 0025-Feb-28 19:44:00 UTC,4.9,19.92
Saturn Mercury,25, 0025-Mar-16 01:24:00 UTC,5.365,7.156
Saturn Mercury,25, 0025-Apr-22 11:48:00 UTC,0.718,24.771
Saturn Mercury,26, 0026-Apr-23 18:10:00 UTC,0.796,13.554
Saturn Mercury,27, 0027-Apr-20 22:27:00 UTC,2.376,2.533
Saturn Mercury,28, 0028-Apr-17 12:37:00 UTC,3.739,16.134
Saturn Mercury,29, 0029-Apr-28 05:06:00 UTC,4.668,19.901
Saturn Mercury,29, 0029-Jun-13 05:13:00 UTC,0.134,18.083
Saturn Mercury,30, 0030-Jun-11 15:34:00 UTC,1.819,4.21
Saturn Mercury,31, 0031-Jun-08 20:38:00 UTC,2.204,10.674
Saturn Mercury,32, 0032-Jun-07 16:45:00 UTC,1.291,23.195
Saturn Mercury,32, 0032-Jul-30 04:05:00 UTC,4.624,20.431
Saturn Mercury,33, 0033-Jun-13 23:56:00 UTC,8.893,30.202
Saturn Mercury,33, 0033-Aug-01 17:37:00 UTC,0.685,10.525
Saturn Mercury,34, 0034-Jul-30 10:10:00 UTC,0.473,3.492
Saturn Mercury,35, 0035-Jul-28 19:36:00 UTC,0.703,16.254
Saturn Mercury,36, 0036-Jul-29 04:29:00 UTC,2.95,26.448
Saturn Mercury,36, 0036-Sep-03 17:27:00 UTC,3.933,5.297
Saturn Mercury,36, 0036-Sep-18 14:03:00 UTC,0.176,17.958
Saturn Mercury,37, 0037-Sep-18 20:48:00 UTC,0.562,7.411
Saturn Mercury,38, 0038-Sep-17 07:52:00 UTC,1.739,5.535
Saturn Mercury,39, 0039-Sep-16 13:54:00 UTC,3.17,16.445
Saturn Mercury,40, 0040-Sep-17 22:44:00 UTC,4.878,24.767
Saturn Mercury,40, 0040-Oct-11 09:34:00 UTC,3.076,4.48
Saturn Mercury,40, 0040-Nov-05 14:50:00 UTC,0.329,18.839
Saturn Mercury,41, 0041-Nov-05 20:50:00 UTC,1.694,8.895
Saturn Mercury,42, 0042-Nov-04 21:03:00 UTC,2.754,3.013
Saturn Mercury,43, 0043-Nov-04 03:31:00 UTC,3.503,13.293
Saturn Mercury,43, 0043-Dec-21 18:00:00 UTC,8.951,29.901
Saturn Mercury,44, 0044-Nov-06 04:13:00 UTC,3.363,20.665
Saturn Mercury,44, 0044-Nov-19 00:40:00 UTC,0.507,9.084
Saturn Mercury,44, 0044-Dec-23 07:38:00 UTC,0.641,22.002
Saturn Mercury,45, 0045-Dec-23 21:32:00 UTC,1.811,12.287
Saturn Mercury,46, 0046-Dec-22 17:42:00 UTC,2.157,0.969
Saturn Mercury,47, 0047-Dec-21 05:41:00 UTC,1.759,10.826
Saturn Mercury,48, 0048-Feb-04 15:03:00 UTC,6.675,29.729
Saturn Mercury,48, 0048-Dec-23 08:16:00 UTC,1.584,18.648
Saturn Mercury,49, 0049-Feb-09 18:58:00 UTC,0.692,24.465
Saturn Mercury,50, 0050-Feb-10 02:40:00 UTC,0.954,13.887
Saturn Mercury,51, 0051-Feb-08 03:25:00 UTC,0.235,1.858
Saturn Mercury,52, 0052-Feb-05 17:55:00 UTC,1.419,12.545
Saturn Mercury,52, 0052-Mar-21 23:54:00 UTC,4.672,26.713
Saturn Mercury,53, 0053-Feb-05 05:53:00 UTC,8.797,23.708
Saturn Mercury,53, 0053-Mar-31 06:58:00 UTC,0.443,22.9
Saturn Mercury,54, 0054-Mar-30 13:42:00 UTC,0.685,10.478
Saturn Mercury,55, 0055-Mar-27 14:30:00 UTC,2.272,4.983
Saturn Mercury,56, 0056-Mar-24 22:01:00 UTC,4.219,18.357
Saturn Mercury,56, 0056-May-09 01:46:00 UTC,2.63,19.5
Saturn Mercury,57, 0057-May-20 10:11:00 UTC,0.595,16.276
Saturn Mercury,58, 0058-May-18 01:19:00 UTC,2.191,2.218
Saturn Mercury,59, 0059-May-15 07:18:00 UTC,3.008,13.338
Saturn Mercury,60, 0060-May-16 10:30:00 UTC,2.335,24.148
Saturn Mercury,60, 0060-Jun-18 17:21:00 UTC,4.149,3.344
Saturn Mercury,60, 0060-Jul-08 01:40:00 UTC,0.948,19.309
Saturn Mercury,61, 0061-Jul-08 14:26:00 UTC,1.233,7.353
Saturn Mercury,62, 0062-Jul-05 22:20:00 UTC,1.262,7.041
Saturn Mercury,63, 0063-Jul-04 16:44:00 UTC,0.172,20.039
Saturn Mercury,64, 0064-Jul-08 05:30:00 UTC,3.015,28.02
Saturn Mercury,64, 0064-Jul-27 12:18:00 UTC,5.988,11.84
Saturn Mercury,64, 0064-Aug-27 12:08:00 UTC,0.157,14.671
Saturn Mercury,65, 0065-Aug-26 00:15:00 UTC,0.189,2.697
Saturn Mercury,66, 0066-Aug-24 06:34:00 UTC,1.366,10.848
Saturn Mercury,67, 0067-Aug-24 03:01:00 UTC,3.096,21.796
Saturn Mercury,67, 0067-Oct-12 04:02:00 UTC,4.439,21.375
Saturn Mercury,68, 0068-Aug-31 11:41:00 UTC,6.159,25.257
Saturn Mercury,68, 0068-Oct-14 07:13:00 UTC,0.617,13.596
Saturn Mercury,69, 0069-Oct-13 08:11:00 UTC,1.823,3.091
Saturn Mercury,70, 0070-Oct-12 06:49:00 UTC,3.016,9.411
Saturn Mercury,71, 0071-Oct-12 10:10:00 UTC,4.113,19.37
Saturn Mercury,71, 0071-Nov-20 09:46:00 UTC,0.941,15.883
Saturn Mercury,71, 0071-Nov-26 17:08:00 UTC,0.811,21.57
Saturn Mercury,72, 0072-Oct-16 13:43:00 UTC,7.144,24.921
Saturn Mercury,72, 0072-Nov-30 23:32:00 UTC,1.253,16.163
Saturn Mercury,73, 0073-Nov-30 11:47:00 UTC,2.292,5.644
Saturn Mercury,74, 0074-Nov-29 08:10:00 UTC,2.797,5.768
Saturn Mercury,75, 0075-Nov-28 20:28:00 UTC,2.589,16.385
Saturn Mercury,75, 0075-Dec-29 00:44:00 UTC,3.145,10.85
Saturn Mercury,76, 0076-Jan-15 04:03:00 UTC,0.685,26.26
Saturn Mercury,77, 0077-Jan-18 02:40:00 UTC,1.212,19.353
Saturn Mercury,78, 0078-Jan-17 10:24:00 UTC,1.486,8.201
Saturn Mercury,79, 0079-Jan-15 12:01:00 UTC,0.931,4.355
Saturn Mercury,80, 0080-Jan-14 04:12:00 UTC,0.857,16.432
Saturn Mercury,80, 0080-Feb-08 05:13:00 UTC,5.012,5.879
Saturn Mercury,80, 0080-Mar-04 11:34:00 UTC,0.004,27.762
Saturn Mercury,81, 0081-Mar-07 21:32:00 UTC,0.558,19.421
Saturn Mercury,82, 0082-Mar-06 08:22:00 UTC,0.33,6.778
Saturn Mercury,83, 0083-Mar-03 11:34:00 UTC,1.922,8.075
Saturn Mercury,84, 0084-Mar-02 15:11:00 UTC,4.724,19.829
Saturn Mercury,84, 0084-Mar-21 14:54:00 UTC,4.826,4.212
Saturn Mercury,84, 0084-Apr-24 09:47:00 UTC,0.796,24.903
Saturn Mercury,85, 0085-Apr-26 03:59:00 UTC,0.759,14.062
Saturn Mercury,86, 0086-Apr-23 09:37:00 UTC,2.341,2.236
Saturn Mercury,87, 0087-Apr-20 21:34:00 UTC,3.658,15.663
Saturn Mercury,88, 0088-May-02 09:11:00 UTC,3.077,17.939
Saturn Mercury,88, 0088-Jun-15 11:15:00 UTC,0.009,18.447
Saturn Mercury,89, 0089-Jun-14 02:22:00 UTC,1.748,4.731
Saturn Mercury,90, 0090-Jun-11 07:00:00 UTC,2.117,10.121
Saturn Mercury,91, 0091-Jun-10 21:43:00 UTC,1.215,22.79
Saturn Mercury,91, 0091-Aug-03 01:20:00 UTC,5.733,21.448
Saturn Mercury,92, 0092-Jun-17 01:23:00 UTC,7.46,29.051
Saturn Mercury,92, 0092-Aug-04 01:53:00 UTC,0.618,11.12
Saturn Mercury,93, 0093-Aug-01 19:46:00 UTC,0.414,2.905
Saturn Mercury,94, 0094-Jul-31 03:42:00 UTC,0.748,15.605
Saturn Mercury,95, 0095-Aug-01 05:42:00 UTC,2.91,25.99
Saturn Mercury,95, 0095-Sep-09 01:12:00 UTC,3.381,7.648
Saturn Mercury,95, 0095-Sep-21 09:24:00 UTC,0.245,18.262
Saturn Mercury,96, 0096-Sep-21 03:41:00 UTC,0.563,8.143
Saturn Mercury,97, 0097-Sep-19 15:19:00 UTC,1.732,4.816
Saturn Mercury,98, 0098-Sep-18 19:38:00 UTC,3.134,15.68
Saturn Mercury,99, 0099-Sep-20 18:38:00 UTC,4.766,24.337
Saturn Mercury,99, 0099-Oct-16 06:13:00 UTC,2.56,2.746
Saturn Mercury,99, 0099-Nov-08 14:23:00 UTC,0.241,19.434
Saturn Mercury,100, 0100-Nov-09 02:33:00 UTC,1.64,9.705
Saturn Mercury,101, 0101-Nov-08 03:32:00 UTC,2.698,2.348
Saturn Mercury,102, 0102-Nov-07 08:27:00 UTC,3.427,12.485
Saturn Mercury,103, 0103-Nov-09 13:18:00 UTC,3.348,20.615
Saturn Mercury,103, 0103-Nov-24 23:58:00 UTC,0.083,6.708
Saturn Mercury,103, 0103-Dec-27 08:17:00 UTC,0.522,22.63
Saturn Mercury,104, 0104-Dec-27 03:45:00 UTC,1.743,13.1
Saturn Mercury,105, 0105-Dec-26 00:58:00 UTC,2.09,1.779
Saturn Mercury,106, 0106-Dec-24 11:38:00 UTC,1.691,10.073
Saturn Mercury,107, 0107-Feb-08 16:18:00 UTC,8.12,31.158
Saturn Mercury,107, 0107-Dec-26 18:31:00 UTC,1.033,18.672
Saturn Mercury,108, 0108-Feb-13 21:40:00 UTC,0.619,25.016
Saturn Mercury,109, 0109-Feb-13 10:51:00 UTC,0.91,14.593
Saturn Mercury,110, 0110-Feb-11 12:48:00 UTC,0.19,2.356
Saturn Mercury,111, 0111-Feb-09 01:43:00 UTC,1.439,11.952
Saturn Mercury,111, 0111-Mar-27 02:36:00 UTC,6.248,27.93
Saturn Mercury,112, 0112-Feb-10 04:47:00 UTC,7.845,22.601
Saturn Mercury,112, 0112-Apr-03 13:01:00 UTC,0.463,23.328
Saturn Mercury,113, 0113-Apr-03 00:32:00 UTC,0.684,11.015
Saturn Mercury,114, 0114-Mar-31 01:51:00 UTC,2.264,4.507
Saturn Mercury,115, 0115-Mar-29 05:17:00 UTC,4.14,17.979
Saturn Mercury,115, 0115-May-15 01:02:00 UTC,4.127,21.211
Saturn Mercury,116, 0116-May-23 19:55:00 UTC,0.524,16.679
Saturn Mercury,117, 0117-May-21 13:23:00 UTC,2.136,2.554
Saturn Mercury,118, 0118-May-18 18:24:00 UTC,2.92,12.865
Saturn Mercury,119, 0119-May-20 09:02:00 UTC,2.272,24.093
Saturn Mercury,119, 0119-Jun-26 22:03:00 UTC,4.205,6.886
Saturn Mercury,119, 0119-Jul-11 23:34:00 UTC,1.211,19.361
Saturn Mercury,120, 0120-Jul-12 01:17:00 UTC,1.159,7.878
Saturn Mercury,121, 0121-Jul-09 09:34:00 UTC,1.18,6.482
Saturn Mercury,122, 0122-Jul-08 01:31:00 UTC,0.097,19.522
Saturn Mercury,123, 0123-Jul-11 22:03:00 UTC,2.881,28.024
Saturn Mercury,123, 0123-Aug-03 18:44:00 UTC,5.991,8.848
Saturn Mercury,123, 0123-Aug-31 18:11:00 UTC,0.104,15.201
Saturn Mercury,124, 0124-Aug-29 09:47:00 UTC,0.225,3.252
Saturn Mercury,125, 0125-Aug-27 15:43:00 UTC,1.391,10.158
Saturn Mercury,126, 0126-Aug-27 09:04:00 UTC,3.077,21.161
Saturn Mercury,126, 0126-Oct-16 02:52:00 UTC,5.671,22.697
Saturn Mercury,127, 0127-Sep-03 13:56:00 UTC,5.816,25.583
Saturn Mercury,127, 0127-Oct-18 12:44:00 UTC,0.583,14.293
Saturn Mercury,128, 0128-Oct-16 15:54:00 UTC,1.796,3.68
Saturn Mercury,129, 0129-Oct-15 14:04:00 UTC,2.973,8.611
Saturn Mercury,130, 0130-Oct-15 13:52:00 UTC,4.032,18.673
Saturn Mercury,130, 0130-Nov-27 20:02:00 UTC,1.262,20.446
Saturn Mercury,131, 0131-Oct-21 20:01:00 UTC,5.954,23.214
Saturn Mercury,131, 0131-Dec-05 04:18:00 UTC,1.173,16.915
Saturn Mercury,132, 0132-Dec-03 18:52:00 UTC,2.228,6.461
Saturn Mercury,133, 0133-Dec-02 15:06:00 UTC,2.725,4.938
Saturn Mercury,134, 0134-Dec-01 23:29:00 UTC,2.517,15.713
Saturn Mercury,135, 0135-Jan-03 21:06:00 UTC,3.163,13.952
Saturn Mercury,135, 0135-Jan-17 13:29:00 UTC,0.974,26.25
Saturn Mercury,135, 0135-Dec-02 10:45:00 UTC,8.529,25.686
Saturn Mercury,136, 0136-Jan-22 08:01:00 UTC,1.141,20.065
Saturn Mercury,137, 0137-Jan-20 18:20:00 UTC,1.428,8.985
Saturn Mercury,138, 0138-Jan-18 20:04:00 UTC,0.872,3.639
Saturn Mercury,139, 0139-Jan-17 07:42:00 UTC,0.857,15.887
Saturn Mercury,139, 0139-Feb-14 03:31:00 UTC,4.775,8.786
Saturn Mercury,139, 0139-Mar-08 01:41:00 UTC,0.147,27.776
Saturn Mercury,140, 0140-Mar-11 04:56:00 UTC,0.541,20.014
Saturn Mercury,141, 0141-Mar-09 18:18:00 UTC,0.352,7.402
Saturn Mercury,142, 0142-Mar-06 21:19:00 UTC,1.93,7.508
Saturn Mercury,143, 0143-Mar-06 14:02:00 UTC,4.583,19.653
Saturn Mercury,143, 0143-Mar-28 22:41:00 UTC,4.169,2.359
Saturn Mercury,143, 0143-Apr-28 06:13:00 UTC,0.88,24.948
Saturn Mercury,144, 0144-Apr-29 14:06:00 UTC,0.721,14.548
Saturn Mercury,145, 0145-Apr-26 21:09:00 UTC,2.305,2.045
Saturn Mercury,146, 0146-Apr-24 07:16:00 UTC,3.579,15.206
Saturn Mercury,147, 0147-May-09 02:08:00 UTC,1.595,15.58
Saturn Mercury,147, 0147-Jun-19 17:19:00 UTC,0.122,18.771
Saturn Mercury,148, 0148-Jun-17 13:40:00 UTC,1.677,5.233
Saturn Mercury,149, 0149-Jun-14 18:06:00 UTC,2.029,9.589
Saturn Mercury,150, 0150-Jun-14 04:14:00 UTC,1.131,22.387
Saturn Mercury,150, 0150-Aug-07 00:36:00 UTC,6.829,22.488
Saturn Mercury,151, 0151-Jun-21 23:37:00 UTC,6.181,28.064
Saturn Mercury,151, 0151-Aug-08 10:38:00 UTC,0.551,11.681
Saturn Mercury,152, 0152-Aug-05 06:08:00 UTC,0.353,2.387
Saturn Mercury,153, 0153-Aug-03 13:00:00 UTC,0.798,14.983
Saturn Mercury,154, 0154-Aug-04 09:13:00 UTC,2.887,25.524
Saturn Mercury,154, 0154-Sep-14 13:45:00 UTC,2.786,10.167
Saturn Mercury,154, 0154-Sep-24 02:57:00 UTC,0.332,18.429
Saturn Mercury,155, 0155-Sep-25 11:32:00 UTC,0.565,8.847
Saturn Mercury,156, 0156-Sep-22 23:52:00 UTC,1.73,4.153
Saturn Mercury,157, 0157-Sep-22 02:43:00 UTC,3.104,14.937
Saturn Mercury,158, 0158-Sep-23 17:26:00 UTC,4.666,23.859
Saturn Mercury,158, 0158-Oct-21 01:23:00 UTC,2.058,2.247
Saturn Mercury,158, 0158-Nov-11 14:03:00 UTC,0.148,19.972
Saturn Mercury,159, 0159-Nov-12 09:02:00 UTC,1.586,10.495
Saturn Mercury,160, 0160-Nov-10 10:51:00 UTC,2.642,1.859
Saturn Mercury,161, 0161-Nov-09 14:17:00 UTC,3.352,11.683
Saturn Mercury,162, 0162-Nov-11 04:59:00 UTC,3.304,20.346
Saturn Mercury,162, 0162-Nov-28 21:40:00 UTC,0.622,4.44
Saturn Mercury,162, 0162-Dec-29 08:42:00 UTC,0.396,23.217
Saturn Mercury,163, 0163-Dec-30 10:09:00 UTC,1.673,13.899
Saturn Mercury,164, 0164-Dec-28 08:28:00 UTC,2.022,2.598
Saturn Mercury,165, 0165-Dec-26 17:56:00 UTC,1.623,9.316
Saturn Mercury,166, 0166-Dec-28 03:20:00 UTC,0.748,18.748
Saturn Mercury,167, 0167-Feb-15 23:35:00 UTC,0.542,25.538
Saturn Mercury,168, 0168-Feb-16 18:46:00 UTC,0.869,15.297
Saturn Mercury,169, 0169-Feb-13 21:59:00 UTC,0.147,2.944
Saturn Mercury,170, 0170-Feb-11 09:29:00 UTC,1.456,11.345
Saturn Mercury,170, 0170-Mar-30 07:52:00 UTC,7.893,29.252
Saturn Mercury,171, 0171-Feb-13 01:49:00 UTC,6.958,21.546
Saturn Mercury,171, 0171-Apr-06 18:08:00 UTC,0.487,23.741
Saturn Mercury,172, 0172-Apr-05 11:04:00 UTC,0.678,11.56
