Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Neptune,16, 0016-Apr-03 01:03:00 UTC,1.764,111.577
Saturn Neptune,16, 0016-Dec-04 06:47:00 UTC,0.345,9.378
Saturn Neptune,17, 0017-Aug-29 10:39:00 UTC,3.633,110.866
Saturn Neptune,52, 0052-Jun-24 14:32:00 UTC,1.957,110.942
Saturn Neptune,53, 0053-Feb-16 08:13:00 UTC,0.639,14.079
Saturn Neptune,87, 0087-Sep-13 14:42:00 UTC,2.998,111.567
Saturn Neptune,88, 0088-May-14 06:14:00 UTC,0.116,8.186
Saturn Neptune,122, 0122-Nov-28 20:53:00 UTC,3.137,110.472
Saturn Neptune,123, 0123-Aug-09 15:17:00 UTC,0.668,4.066
Saturn Neptune,124, 0124-Apr-23 03:43:00 UTC,3.714,110.217
Saturn Neptune,159, 0159-Feb-15 08:52:00 UTC,2.14,110.603
Saturn Neptune,159, 0159-Oct-24 05:59:00 UTC,0.195,7.157
Saturn Neptune,160, 0160-Jul-13 13:05:00 UTC,3.205,110.463
Saturn Neptune,196, 0196-Feb-22 23:04:00 UTC,0.518,36.192
Saturn Neptune,196, 0196-Aug-29 19:27:00 UTC,0.862,140.44
Saturn Neptune,196, 0196-Oct-23 00:45:00 UTC,0.838,86.013
Saturn Neptune,231, 0231-Jul-31 20:40:00 UTC,2.161,111.277
Saturn Neptune,232, 0232-Mar-23 09:33:00 UTC,0.402,14.385
Saturn Neptune,266, 0266-Oct-20 06:19:00 UTC,1.336,112.024
Saturn Neptune,267, 0267-Jun-04 22:58:00 UTC,0.505,22.278
Saturn Neptune,302, 0302-Sep-30 22:37:00 UTC,0.606,13.398
Saturn Neptune,303, 0303-May-27 19:40:00 UTC,1.753,109.801
Saturn Neptune,339, 0339-Jan-25 06:03:00 UTC,0.043,51.776
Saturn Neptune,339, 0339-Jun-09 10:49:00 UTC,0.052,175.568
Saturn Neptune,339, 0339-Oct-08 03:25:00 UTC,0.287,57.719
Saturn Neptune,375, 0375-May-22 15:00:00 UTC,0.721,86.625
Saturn Neptune,375, 0375-Jul-11 12:42:00 UTC,0.898,134.223
Saturn Neptune,376, 0376-Jan-16 19:21:00 UTC,0.77,35.416
Saturn Neptune,410, 0410-Sep-05 09:54:00 UTC,1.885,111.925
Saturn Neptune,411, 0411-Apr-24 15:18:00 UTC,0.022,17.741
Saturn Neptune,445, 0445-Nov-20 20:04:00 UTC,1.696,110.963
Saturn Neptune,446, 0446-Jul-13 18:05:00 UTC,0.712,18.686
Saturn Neptune,481, 0481-Dec-26 21:33:00 UTC,0.516,68.022
Saturn Neptune,482, 0482-Mar-28 17:25:00 UTC,0.738,160.042
Saturn Neptune,482, 0482-Sep-06 04:50:00 UTC,0.364,43.512
Saturn Neptune,518, 0518-Apr-25 16:26:00 UTC,3.648,110.67
Saturn Neptune,519, 0519-Jan-17 22:21:00 UTC,0.505,10.251
