Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Uranus,36, 0036-Sep-12 05:18:00 UTC,1.263,12.445
Saturn Uranus,37, 0037-May-11 03:37:00 UTC,2.222,108.476
Saturn Uranus,83, 0083-Mar-25 01:42:00 UTC,1.536,10.829
Saturn Uranus,83, 0083-Nov-27 06:56:00 UTC,3.107,109.62
Saturn Uranus,127, 0127-Oct-28 13:37:00 UTC,1.741,23.223
Saturn Uranus,128, 0128-Jun-26 02:04:00 UTC,2.056,97.835
Saturn Uranus,173, 0173-Apr-30 06:35:00 UTC,1.741,19.911
Saturn Uranus,173, 0173-Dec-22 13:53:00 UTC,2.637,108.368
Saturn Uranus,218, 0218-Dec-18 10:17:00 UTC,1.703,41.034
Saturn Uranus,219, 0219-Jun-17 05:10:00 UTC,1.901,139.637
Saturn Uranus,219, 0219-Aug-26 21:35:00 UTC,1.633,72.022
Saturn Uranus,263, 0263-Jun-16 12:42:00 UTC,1.676,36.98
Saturn Uranus,264, 0264-Jan-27 23:02:00 UTC,1.719,97.207
Saturn Uranus,310, 0310-Jan-25 16:49:00 UTC,1.162,48.021
Saturn Uranus,310, 0310-Jun-28 02:41:00 UTC,1.176,161.582
Saturn Uranus,310, 0310-Oct-02 05:32:00 UTC,0.936,67.472
Saturn Uranus,353, 0353-Aug-18 03:14:00 UTC,1.314,68.71
Saturn Uranus,353, 0353-Nov-26 02:33:00 UTC,1.368,169.769
Saturn Uranus,354, 0354-Apr-09 00:19:00 UTC,0.988,54.814
Saturn Uranus,401, 0401-Feb-03 04:19:00 UTC,0.298,28.332
Saturn Uranus,401, 0401-Sep-15 02:40:00 UTC,0.447,113.511
Saturn Uranus,444, 0444-Jul-07 07:49:00 UTC,0.276,0.248
Saturn Uranus,445, 0445-Mar-16 15:19:00 UTC,3.142,111.584
Saturn Uranus,491, 0491-May-26 12:45:00 UTC,1.679,112.091
Saturn Uranus,492, 0492-Jan-20 02:18:00 UTC,0.617,12.767
Saturn Uranus,534, 0534-Nov-26 14:37:00 UTC,0.707,106.805
Saturn Uranus,535, 0535-Jul-05 13:31:00 UTC,0.768,34.234
Saturn Uranus,582, 0582-Apr-04 11:46:00 UTC,1.205,33.7
Saturn Uranus,582, 0582-Nov-18 21:45:00 UTC,1.619,102.261
Saturn Uranus,625, 0625-Dec-22 00:19:00 UTC,1.661,98.567
Saturn Uranus,626, 0626-Aug-15 11:18:00 UTC,1.508,29.563
Saturn Uranus,672, 0672-Jun-17 18:41:00 UTC,1.786,78.442
Saturn Uranus,673, 0673-Feb-10 05:25:00 UTC,1.714,43.692
Saturn Uranus,717, 0717-Jan-30 06:59:00 UTC,2.632,105.656
Saturn Uranus,717, 0717-Oct-10 08:58:00 UTC,1.755,9.755
Saturn Uranus,762, 0762-Aug-14 13:18:00 UTC,2.798,108.926
Saturn Uranus,763, 0763-Apr-07 02:13:00 UTC,1.718,16.416
Saturn Uranus,808, 0808-Dec-07 05:00:00 UTC,1.52,16.018
Saturn Uranus,809, 0809-Aug-07 02:11:00 UTC,1.847,106.202
Saturn Uranus,853, 0853-May-29 15:05:00 UTC,1.479,7.607
Saturn Uranus,854, 0854-Jan-31 22:54:00 UTC,3.215,110.385
Saturn Uranus,900, 0900-Jan-07 05:21:00 UTC,0.859,16.407
Saturn Uranus,900, 0900-Sep-03 01:12:00 UTC,1.316,111.13
Saturn Uranus,943, 0943-Aug-03 22:23:00 UTC,0.993,40.513
Saturn Uranus,944, 0944-Mar-11 21:21:00 UTC,0.763,96.11
Saturn Uranus,990, 0990-May-11 12:40:00 UTC,1.89,112.573
Saturn Uranus,991, 0991-Jan-12 03:53:00 UTC,0.033,7.112
Saturn Uranus,991, 0991-Oct-05 06:01:00 UTC,3.09,111.166
Saturn Uranus,1033, 1033-Nov-15 04:34:00 UTC,1.175,113.591
Saturn Uranus,1034, 1034-Jun-27 15:51:00 UTC,0.077,24.263
Saturn Uranus,1081, 1081-Apr-01 12:12:00 UTC,0.713,44.363
Saturn Uranus,1081, 1081-Sep-18 21:43:00 UTC,1.107,149.925
Saturn Uranus,1081, 1081-Nov-27 06:40:00 UTC,1.022,79.836
Saturn Uranus,1124, 1124-Oct-17 10:39:00 UTC,0.861,50.566
Saturn Uranus,1125, 1125-Mar-06 03:39:00 UTC,1.255,166.705
Saturn Uranus,1125, 1125-Jun-14 15:56:00 UTC,1.132,68.585
Saturn Uranus,1171, 1171-Jun-29 21:31:00 UTC,1.617,103.627
Saturn Uranus,1172, 1172-Feb-12 20:00:00 UTC,1.429,28.799
Saturn Uranus,1215, 1215-Nov-05 18:27:00 UTC,1.595,36.406
Saturn Uranus,1216, 1216-Jul-05 22:11:00 UTC,1.817,81.522
Saturn Uranus,1261, 1261-Jul-28 21:56:00 UTC,3.188,109.37
Saturn Uranus,1262, 1262-Mar-31 20:18:00 UTC,1.692,7.549
Saturn Uranus,1306, 1306-Dec-26 08:11:00 UTC,1.858,53.327
Saturn Uranus,1307, 1307-May-05 22:52:00 UTC,2.163,174.98
Saturn Uranus,1307, 1307-Sep-05 21:06:00 UTC,1.779,57.182
