Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Venus,1, 0001-Jul-30 07:23:00 UTC,0.7,39.529
Saturn Venus,2, 0002-May-21 03:23:00 UTC,1.876,31.342
Saturn Venus,3, 0003-Jul-21 06:24:00 UTC,0.42,7.148
Saturn Venus,4, 0004-Sep-15 01:44:00 UTC,1.298,43.948
Saturn Venus,5, 0005-Jul-08 03:44:00 UTC,0.112,26.751
Saturn Venus,6, 0006-Sep-06 10:24:00 UTC,0.438,13.213
Saturn Venus,7, 0007-Oct-26 22:22:00 UTC,1.112,46.91
Saturn Venus,8, 0008-Aug-22 13:21:00 UTC,1.267,21.062
Saturn Venus,9, 0009-Oct-20 16:26:00 UTC,0.802,20.443
Saturn Venus,10, 0010-Aug-17 09:28:00 UTC,4.726,47.041
Saturn Venus,11, 0011-Oct-05 19:55:00 UTC,1.811,13.911
Saturn Venus,12, 0012-Dec-01 19:13:00 UTC,0.53,28.27
Saturn Venus,13, 0013-Sep-23 22:34:00 UTC,3.933,44.127
Saturn Venus,14, 0014-Nov-17 01:04:00 UTC,1.568,5.639
Saturn Venus,16, 0016-Jan-12 21:11:00 UTC,0.216,35.782
Saturn Venus,16, 0016-Nov-02 20:15:00 UTC,2.587,37.937
Saturn Venus,17, 0017-Dec-29 12:10:00 UTC,0.814,3.024
Saturn Venus,19, 0019-Feb-22 23:49:00 UTC,1.04,41.907
Saturn Venus,19, 0019-Dec-15 19:23:00 UTC,0.904,30.543
Saturn Venus,21, 0021-Feb-11 12:48:00 UTC,0.084,10.891
Saturn Venus,22, 0022-Apr-05 16:29:00 UTC,1.317,45.568
Saturn Venus,23, 0023-Jan-29 12:19:00 UTC,0.712,23.34
Saturn Venus,24, 0024-Mar-30 03:44:00 UTC,0.719,17.315
Saturn Venus,25, 0025-Jan-30 04:30:00 UTC,5.321,45.889
Saturn Venus,25, 0025-May-16 10:21:00 UTC,0.282,44.873
Saturn Venus,26, 0026-Mar-18 09:26:00 UTC,1.752,17.219
Saturn Venus,27, 0027-May-19 10:59:00 UTC,0.776,22.234
Saturn Venus,28, 0028-Mar-13 16:51:00 UTC,4.722,45.675
Saturn Venus,29, 0029-May-07 14:02:00 UTC,1.786,12.17
Saturn Venus,30, 0030-Jul-08 19:57:00 UTC,0.267,26.635
Saturn Venus,31, 0031-May-01 07:20:00 UTC,2.94,42.804
Saturn Venus,32, 0032-Jun-26 17:19:00 UTC,0.893,7.447
Saturn Venus,33, 0033-Aug-26 14:25:00 UTC,0.39,31.744
Saturn Venus,34, 0034-Jun-17 09:40:00 UTC,0.485,39.423
Saturn Venus,35, 0035-Aug-14 13:44:00 UTC,0.261,2.582
Saturn Venus,36, 0036-Oct-10 22:49:00 UTC,0.623,37.783
Saturn Venus,37, 0037-Aug-01 08:18:00 UTC,1.439,34.924
Saturn Venus,38, 0038-Sep-28 14:29:00 UTC,1.006,5.382
Saturn Venus,39, 0039-Nov-22 10:59:00 UTC,0.019,43.726
Saturn Venus,40, 0040-Sep-13 09:13:00 UTC,2.298,28.786
Saturn Venus,41, 0041-Nov-10 11:56:00 UTC,1.087,12.992
Saturn Venus,42, 0042-Dec-28 23:52:00 UTC,1.782,46.862
Saturn Venus,43, 0043-Oct-26 09:21:00 UTC,2.162,21.154
Saturn Venus,44, 0044-Dec-22 09:56:00 UTC,0.611,21.185
Saturn Venus,45, 0045-Oct-19 05:43:00 UTC,4.23,47.305
Saturn Venus,46, 0046-Dec-07 13:09:00 UTC,1.346,12.756
Saturn Venus,48, 0048-Feb-03 16:09:00 UTC,0.104,28.879
Saturn Venus,48, 0048-Nov-25 22:12:00 UTC,1.569,43.624
Saturn Venus,50, 0050-Jan-20 03:24:00 UTC,0.236,4.76
Saturn Venus,51, 0051-Mar-19 12:19:00 UTC,0.6,35.222
Saturn Venus,52, 0052-Jan-08 12:28:00 UTC,0.65,37.558
Saturn Venus,53, 0053-Mar-07 06:20:00 UTC,0.745,3.19
Saturn Venus,54, 0054-May-04 16:44:00 UTC,0.402,39.864
Saturn Venus,55, 0055-Feb-24 00:14:00 UTC,2.135,31.509
Saturn Venus,56, 0056-Apr-25 04:41:00 UTC,1.185,8.178
Saturn Venus,57, 0057-Jun-21 19:56:00 UTC,0.64,43.21
Saturn Venus,58, 0058-Apr-14 10:30:00 UTC,2.409,26.306
Saturn Venus,59, 0059-Jun-15 16:48:00 UTC,0.895,12.565
