Planets,Years,Date,Angular Separation (deg),Elongation
Venus Mars,1, 0001-Nov-02 02:28:00 UTC,0.88,17.989
Venus Mars,3, 0003-Sep-19 19:21:00 UTC,0.501,9.097
Venus Mars,5, 0005-Aug-09 15:35:00 UTC,0.063,34.649
Venus Mars,6, 0006-May-31 09:50:00 UTC,1.442,37.187
Venus Mars,8, 0008-Apr-20 10:51:00 UTC,0.77,12.891
Venus Mars,10, 0010-Mar-06 06:21:00 UTC,0.482,12.767
Venus Mars,12, 0012-Jan-25 21:10:00 UTC,0.041,38.31
Venus Mars,12, 0012-Jun-02 09:36:00 UTC,2.354,3.137
Venus Mars,12, 0012-Oct-06 03:49:00 UTC,0.183,40.08
Venus Mars,14, 0014-Aug-30 10:43:00 UTC,0.138,14.345
Venus Mars,16, 0016-Jul-17 18:23:00 UTC,0.279,12.088
Venus Mars,18, 0018-Jun-09 13:17:00 UTC,0.584,36.88
Venus Mars,18, 0018-Nov-02 11:02:00 UTC,2.582,10.326
Venus Mars,19, 0019-Mar-03 11:59:00 UTC,1.13,40.322
Venus Mars,21, 0021-Jan-23 00:30:00 UTC,0.295,15.566
Venus Mars,22, 0022-Dec-08 01:38:00 UTC,0.044,11.048
Venus Mars,24, 0024-Oct-27 00:01:00 UTC,0.748,37.074
Venus Mars,25, 0025-Aug-09 03:08:00 UTC,1.419,36.101
Venus Mars,27, 0027-Jun-30 19:59:00 UTC,0.531,10.883
Venus Mars,29, 0029-May-17 13:48:00 UTC,0.046,14.759
Venus Mars,31, 0031-Apr-10 14:35:00 UTC,0.968,39.339
Venus Mars,31, 0031-Dec-10 14:38:00 UTC,1.81,41.215
Venus Mars,33, 0033-Nov-03 06:13:00 UTC,0.856,15.266
Venus Mars,35, 0035-Sep-20 17:21:00 UTC,0.465,11.77
Venus Mars,37, 0037-Aug-11 13:15:00 UTC,0.094,37.084
Venus Mars,38, 0038-Jun-03 04:08:00 UTC,1.408,34.613
Venus Mars,40, 0040-Apr-21 23:43:00 UTC,0.75,10.061
Venus Mars,42, 0042-Mar-08 00:17:00 UTC,0.434,15.62
Venus Mars,44, 0044-Jan-29 16:41:00 UTC,0.233,40.817
Venus Mars,44, 0044-May-20 01:07:00 UTC,0.048,9.085
Venus Mars,44, 0044-Oct-07 21:30:00 UTC,0.039,37.845
Venus Mars,46, 0046-Aug-30 21:28:00 UTC,0.214,11.787
Venus Mars,48, 0048-Jul-18 05:05:00 UTC,0.321,14.638
Venus Mars,50, 0050-Jun-11 08:09:00 UTC,0.574,39.106
Venus Mars,50, 0050-Oct-19 01:18:00 UTC,5.205,5.744
Venus Mars,51, 0051-Mar-08 01:27:00 UTC,0.716,37.594
Venus Mars,53, 0053-Jan-25 10:39:00 UTC,0.146,12.572
Venus Mars,54, 0054-Dec-10 09:46:00 UTC,0.157,14.049
Venus Mars,56, 0056-Oct-31 00:13:00 UTC,0.926,39.805
Venus Mars,57, 0057-Aug-10 11:59:00 UTC,1.195,33.747
Venus Mars,59, 0059-Jul-01 08:25:00 UTC,0.434,8.297
Venus Mars,61, 0061-May-18 06:37:00 UTC,0.044,17.361
Venus Mars,63, 0063-Apr-13 06:24:00 UTC,1.194,41.465
Venus Mars,63, 0063-Dec-13 15:31:00 UTC,1.722,38.807
Venus Mars,65, 0065-Nov-04 11:32:00 UTC,0.821,12.51
Venus Mars,67, 0067-Sep-21 17:52:00 UTC,0.417,14.463
Venus Mars,69, 0069-Aug-13 19:40:00 UTC,0.301,39.445
