Planets,Years,Date,Angular Separation (deg),Elongation
Venus Mercury,1, 0001-Apr-05 06:02:00 UTC,6.81,12.587
Venus Mercury,1, 0001-Oct-26 23:46:00 UTC,0.93,19.461
Venus Mercury,2, 0002-Jan-19 07:41:00 UTC,5.017,1.457
Venus Mercury,2, 0002-Apr-25 09:45:00 UTC,2.736,24.929
Venus Mercury,2, 0002-Nov-04 04:12:00 UTC,2.318,5.454
Venus Mercury,3, 0003-Jun-08 10:01:00 UTC,0.748,18.725
Venus Mercury,3, 0003-Sep-01 13:56:00 UTC,4.412,4.511
Venus Mercury,3, 0003-Nov-29 06:39:00 UTC,6.648,25.83
Venus Mercury,4, 0004-Jun-07 17:14:00 UTC,3.665,3.259
Venus Mercury,4, 0004-Dec-22 21:09:00 UTC,1.043,24.037
Venus Mercury,5, 0005-Jan-08 21:42:00 UTC,0.734,20.094
Venus Mercury,5, 0005-Mar-25 17:17:00 UTC,2.888,1.749
Venus Mercury,5, 0005-Jun-14 20:22:00 UTC,0.142,20.632
Venus Mercury,5, 0005-Jul-03 16:32:00 UTC,3.137,25.607
Venus Mercury,6, 0006-Jan-16 15:21:00 UTC,9.669,8.418
Venus Mercury,6, 0006-Aug-02 05:24:00 UTC,4.355,22.212
Venus Mercury,6, 0006-Oct-30 18:12:00 UTC,0.131,0.809
Venus Mercury,7, 0007-Jan-27 15:02:00 UTC,4.515,21.662
Venus Mercury,7, 0007-Aug-13 19:04:00 UTC,9.988,9.967
Venus Mercury,8, 0008-Feb-22 14:25:00 UTC,0.418,27.336
Venus Mercury,8, 0008-Mar-14 04:15:00 UTC,1.033,22.418
Venus Mercury,8, 0008-Jun-04 16:57:00 UTC,4.495,0.618
Venus Mercury,8, 0008-Aug-13 00:36:00 UTC,1.132,18.484
Venus Mercury,8, 0008-Sep-07 07:30:00 UTC,3.371,24.862
Venus Mercury,9, 0009-Mar-25 06:42:00 UTC,7.277,7.307
Venus Mercury,9, 0009-Sep-30 15:11:00 UTC,7.043,25.199
Venus Mercury,9, 0009-Dec-28 19:09:00 UTC,4.214,3.902
Venus Mercury,10, 0010-Mar-22 16:59:00 UTC,2.17,16.914
Venus Mercury,10, 0010-Apr-05 23:58:00 UTC,2.653,20.556
Venus Mercury,10, 0010-Oct-25 15:29:00 UTC,3.351,7.814
Venus Mercury,11, 0011-May-07 22:43:00 UTC,3.127,26.279
Venus Mercury,11, 0011-Aug-11 01:17:00 UTC,5.014,1.605
Venus Mercury,11, 0011-Nov-07 18:11:00 UTC,1.398,21.53
Venus Mercury,12, 0012-May-27 18:26:00 UTC,2.127,11.333
Venus Mercury,12, 0012-Dec-03 20:06:00 UTC,6.132,27.797
Venus Mercury,13, 0013-Mar-02 00:05:00 UTC,4.155,6.944
Venus Mercury,13, 0013-May-13 05:28:00 UTC,1.285,12.361
Venus Mercury,13, 0013-Jun-17 19:10:00 UTC,3.656,22.012
Venus Mercury,14, 0014-Jan-06 12:58:00 UTC,7.988,10.786
Venus Mercury,14, 0014-Jul-09 05:01:00 UTC,8.866,27.676
Venus Mercury,14, 0014-Oct-10 00:24:00 UTC,1.106,4.018
Venus Mercury,14, 0014-Dec-30 02:08:00 UTC,0.205,15.609
Venus Mercury,15, 0015-Aug-03 10:46:00 UTC,8.055,18.379
Venus Mercury,16, 0016-Feb-06 08:30:00 UTC,4.061,30.496
Venus Mercury,16, 0016-May-11 01:22:00 UTC,2.497,6.722
Venus Mercury,16, 0016-Jul-06 17:13:00 UTC,0.48,9.057
Venus Mercury,16, 0016-Aug-23 02:19:00 UTC,4.703,21.663
Venus Mercury,17, 0017-Mar-14 15:48:00 UTC,6.343,16.731
Venus Mercury,17, 0017-Dec-07 16:44:00 UTC,3.048,8.228
Venus Mercury,18, 0018-Feb-20 17:00:00 UTC,0.983,10.013
Venus Mercury,18, 0018-Mar-16 04:56:00 UTC,3.913,15.868
Venus Mercury,18, 0018-Oct-16 04:23:00 UTC,3.847,17.843
Venus Mercury,19, 0019-Apr-10 21:12:00 UTC,6.497,32.25
Venus Mercury,19, 0019-Jul-20 03:41:00 UTC,5.021,6.281
Venus Mercury,19, 0019-Sep-05 23:15:00 UTC,0.491,6.817
Venus Mercury,19, 0019-Oct-23 19:58:00 UTC,1.618,18.634
Venus Mercury,20, 0020-May-17 17:14:00 UTC,0.409,21.824
Venus Mercury,21, 0021-Feb-07 05:40:00 UTC,4.372,11.921
Venus Mercury,21, 0021-Apr-14 09:30:00 UTC,1.139,5.2
Venus Mercury,21, 0021-May-26 12:35:00 UTC,2.592,16.595
Venus Mercury,21, 0021-Dec-28 18:42:00 UTC,4.934,18.809
Venus Mercury,22, 0022-Jan-24 23:56:00 UTC,6.547,23.978
Venus Mercury,22, 0022-Sep-19 10:41:00 UTC,1.941,8.597
Venus Mercury,22, 0022-Nov-17 06:28:00 UTC,1.43,6.101
Venus Mercury,22, 0022-Dec-21 23:27:00 UTC,2.628,14.318
Venus Mercury,23, 0023-Jul-24 21:50:00 UTC,5.215,26.177
Venus Mercury,24, 0024-Apr-16 09:01:00 UTC,0.316,12.764
Venus Mercury,24, 0024-Jun-06 10:40:00 UTC,0.904,1.26
Venus Mercury,24, 0024-Aug-02 15:02:00 UTC,5.636,16.955
Venus Mercury,25, 0025-Mar-13 07:17:00 UTC,5.841,15.547
Venus Mercury,25, 0025-Apr-08 03:25:00 UTC,6.144,24.819
Venus Mercury,25, 0025-Nov-17 03:22:00 UTC,1.847,12.53
Venus Mercury,26, 0026-Jan-20 08:46:00 UTC,0.525,3.121
Venus Mercury,26, 0026-Feb-22 08:44:00 UTC,4.848,11.025
Venus Mercury,26, 0026-Oct-09 03:55:00 UTC,3.646,23.626
Venus Mercury,26, 0026-Nov-07 03:52:00 UTC,3.755,20.393
