Planets,Years,Date,Angular Separation (deg),Elongation
Venus Neptune,1, 0001-Nov-24 18:20:00 UTC,0.999,12.547
Venus Neptune,2, 0002-Dec-31 11:01:00 UTC,2.408,46.389
Venus Neptune,3, 0003-Oct-28 18:42:00 UTC,2.102,18.602
Venus Neptune,4, 0004-Dec-14 12:53:00 UTC,0.498,25.948
Venus Neptune,5, 0005-Oct-05 07:15:00 UTC,4.144,45.229
Venus Neptune,6, 0006-Nov-17 19:45:00 UTC,1.644,4.995
Venus Neptune,8, 0008-Jan-03 04:23:00 UTC,0.27,38.23
Venus Neptune,8, 0008-Oct-21 23:45:00 UTC,2.952,35.017
Venus Neptune,9, 0009-Dec-07 23:29:00 UTC,1.2,8.78
Venus Neptune,11, 0011-Jan-17 22:16:00 UTC,1.892,46.575
Venus Neptune,11, 0011-Nov-11 03:01:00 UTC,2.263,22.306
Venus Neptune,12, 0012-Dec-27 21:42:00 UTC,0.695,22.29
Venus Neptune,13, 0013-Oct-20 20:31:00 UTC,4.272,47.019
Venus Neptune,14, 0014-Dec-01 01:49:00 UTC,1.743,8.778
Venus Neptune,16, 0016-Jan-17 00:54:00 UTC,0.008,34.91
Venus Neptune,16, 0016-Nov-04 21:06:00 UTC,2.941,38.322
Venus Neptune,17, 0017-Dec-21 06:35:00 UTC,1.279,5.029
Venus Neptune,19, 0019-Feb-02 15:22:00 UTC,1.25,44.904
Venus Neptune,19, 0019-Nov-24 14:43:00 UTC,2.193,25.951
Venus Neptune,21, 0021-Jan-10 08:19:00 UTC,0.803,18.561
Venus Neptune,21, 0021-Nov-07 03:49:00 UTC,3.698,47.142
Venus Neptune,22, 0022-Dec-14 10:18:00 UTC,1.655,12.546
Venus Neptune,24, 0024-Jan-30 20:00:00 UTC,0.229,31.396
Venus Neptune,24, 0024-Nov-19 00:49:00 UTC,2.57,41.363
Venus Neptune,26, 0026-Jan-03 15:06:00 UTC,1.206,1.544
Venus Neptune,27, 0027-Feb-17 14:16:00 UTC,0.678,42.36
Venus Neptune,27, 0027-Dec-08 05:22:00 UTC,1.861,29.517
Venus Neptune,29, 0029-Jan-23 20:20:00 UTC,0.787,14.767
Venus Neptune,29, 0029-Nov-30 14:26:00 UTC,1.252,41.12
Venus Neptune,29, 0029-Dec-27 04:59:00 UTC,5.042,17.602
Venus Neptune,30, 0030-Feb-26 20:38:00 UTC,3.552,44.607
Venus Neptune,30, 0030-Dec-27 21:41:00 UTC,1.36,16.313
Venus Neptune,32, 0032-Feb-13 15:49:00 UTC,0.343,27.716
Venus Neptune,32, 0032-Dec-03 15:09:00 UTC,1.775,44.036
Venus Neptune,34, 0034-Jan-17 02:30:00 UTC,0.965,2.951
Venus Neptune,35, 0035-Mar-04 05:25:00 UTC,0.252,39.292
Venus Neptune,35, 0035-Dec-22 00:10:00 UTC,1.255,32.985
Venus Neptune,37, 0037-Feb-06 10:01:00 UTC,0.628,10.911
Venus Neptune,38, 0038-Mar-18 05:20:00 UTC,1.655,46.233
Venus Neptune,39, 0039-Jan-10 11:22:00 UTC,0.861,20.062
Venus Neptune,40, 0040-Feb-27 11:50:00 UTC,0.32,23.897
Venus Neptune,40, 0040-Dec-18 21:09:00 UTC,0.481,46.066
Venus Neptune,42, 0042-Jan-30 16:23:00 UTC,0.559,6.728
Venus Neptune,43, 0043-Mar-18 16:53:00 UTC,0.01,35.857
Venus Neptune,44, 0044-Jan-05 01:01:00 UTC,0.383,36.339
Venus Neptune,45, 0045-Feb-20 02:39:00 UTC,0.328,6.978
Venus Neptune,46, 0046-Apr-04 01:21:00 UTC,0.601,44.958
Venus Neptune,47, 0047-Jan-24 05:12:00 UTC,0.178,23.819
Venus Neptune,48, 0048-Mar-12 09:37:00 UTC,0.158,19.931
Venus Neptune,49, 0049-Jan-04 08:57:00 UTC,1.45,46.856
Venus Neptune,50, 0050-Feb-13 08:40:00 UTC,0.014,10.637
Venus Neptune,51, 0051-Apr-02 01:45:00 UTC,0.043,32.155
Venus Neptune,52, 0052-Jan-19 08:47:00 UTC,0.722,39.496
Venus Neptune,53, 0053-Mar-05 20:54:00 UTC,0.092,3.073
Venus Neptune,54, 0054-Apr-19 21:06:00 UTC,0.057,42.469
Venus Neptune,55, 0055-Feb-07 03:09:00 UTC,0.642,27.566
Venus Neptune,56, 0056-Mar-26 08:55:00 UTC,0.127,15.822
Venus Neptune,57, 0057-Jan-23 23:39:00 UTC,4.487,44.319
Venus Neptune,57, 0057-Apr-27 09:09:00 UTC,1.201,42.91
Venus Neptune,58, 0058-Feb-27 04:28:00 UTC,0.628,14.638
Venus Neptune,59, 0059-Apr-16 10:08:00 UTC,0.067,28.221
Venus Neptune,60, 0060-Feb-03 04:00:00 UTC,2.01,42.349
Venus Neptune,61, 0061-Mar-19 17:10:00 UTC,0.591,1.876
Venus Neptune,62, 0062-May-05 03:55:00 UTC,0.13,39.313
Venus Neptune,63, 0063-Feb-21 05:13:00 UTC,1.531,31.267
Venus Neptune,64, 0064-Apr-09 08:05:00 UTC,0.494,11.604
Venus Neptune,65, 0065-May-18 22:46:00 UTC,0.446,45.781
Venus Neptune,66, 0066-Mar-13 02:17:00 UTC,1.301,18.687
Venus Neptune,67, 0067-Apr-30 16:37:00 UTC,0.297,24.116
Venus Neptune,68, 0068-Feb-18 16:51:00 UTC,3.409,44.638
Venus Neptune,69, 0069-Apr-02 15:06:00 UTC,1.111,5.779
Venus Neptune,70, 0070-May-20 02:59:00 UTC,0.074,35.725
Venus Neptune,71, 0071-Mar-07 14:00:00 UTC,2.405,34.901
Venus Neptune,72, 0072-Apr-23 08:06:00 UTC,0.892,7.262
Venus Neptune,73, 0073-Jun-05 14:50:00 UTC,0.809,44.668
Venus Neptune,74, 0074-Mar-27 02:54:00 UTC,1.931,22.772
Venus Neptune,75, 0075-May-14 21:06:00 UTC,0.59,19.875
Venus Neptune,76, 0076-Mar-06 14:30:00 UTC,4.83,45.767
Venus Neptune,77, 0077-Apr-16 13:22:00 UTC,1.586,10.038
Venus Neptune,78, 0078-Jun-03 18:42:00 UTC,0.125,31.871
Venus Neptune,79, 0079-Mar-22 06:19:00 UTC,3.162,38.36
Venus Neptune,80, 0080-May-07 07:33:00 UTC,1.257,2.843
Venus Neptune,81, 0081-Jun-21 19:14:00 UTC,0.706,42.175
Venus Neptune,82, 0082-Apr-10 07:10:00 UTC,2.436,26.866
Venus Neptune,83, 0083-May-29 00:11:00 UTC,0.88,15.524
Venus Neptune,84, 0084-May-16 06:36:00 UTC,2.224,3.139
Venus Neptune,84, 0084-Jun-29 10:22:00 UTC,2.743,43.042
Venus Neptune,85, 0085-Apr-30 13:18:00 UTC,1.947,14.393
Venus Neptune,86, 0086-Jun-18 05:21:00 UTC,0.378,27.82
Venus Neptune,87, 0087-Apr-06 10:24:00 UTC,3.686,41.505
Venus Neptune,88, 0088-May-21 06:02:00 UTC,1.527,1.634
Venus Neptune,89, 0089-Jul-07 03:22:00 UTC,0.417,39.016
Venus Neptune,90, 0090-Apr-24 14:20:00 UTC,2.731,30.896
Venus Neptune,91, 0091-Jun-12 00:10:00 UTC,1.102,11.128
Venus Neptune,92, 0092-Jul-21 07:51:00 UTC,2.177,45.888
Venus Neptune,93, 0093-May-14 13:42:00 UTC,2.127,18.757
Venus Neptune,94, 0094-Jul-02 10:41:00 UTC,0.604,23.656
Venus Neptune,95, 0095-Apr-22 09:32:00 UTC,3.83,44.044
Venus Neptune,96, 0096-Jun-04 03:53:00 UTC,1.648,6.128
Venus Neptune,97, 0097-Jul-21 22:32:00 UTC,0.094,35.475
Venus Neptune,98, 0098-May-09 02:11:00 UTC,2.741,34.801
Venus Neptune,99, 0099-Jun-25 21:25:00 UTC,1.205,6.723
Venus Neptune,100, 0100-Aug-08 14:13:00 UTC,1.42,44.802
