Planets,Years,Date,Angular Separation (deg),Elongation
Venus Uranus,1, 0001-Jan-30 10:31:00 UTC,3.075,45.857
Venus Uranus,1, 0001-May-02 02:02:00 UTC,0.373,38.246
Venus Uranus,2, 0002-Mar-10 20:15:00 UTC,0.248,13.309
Venus Uranus,3, 0003-Apr-30 08:17:00 UTC,1.105,28.718
Venus Uranus,4, 0004-Feb-17 01:54:00 UTC,1.326,41.679
Venus Uranus,5, 0005-Apr-05 02:03:00 UTC,0.375,1.721
Venus Uranus,6, 0006-May-24 01:26:00 UTC,1.613,38.699
Venus Uranus,7, 0007-Mar-12 02:27:00 UTC,0.812,31.657
Venus Uranus,8, 0008-Apr-30 15:00:00 UTC,0.572,10.169
Venus Uranus,9, 0009-Jun-13 11:37:00 UTC,2.622,45.504
Venus Uranus,10, 0010-Apr-05 21:59:00 UTC,0.508,20.534
Venus Uranus,11, 0011-May-27 04:22:00 UTC,0.858,21.357
Venus Uranus,12, 0012-Mar-18 02:25:00 UTC,3.145,45.315
Venus Uranus,13, 0013-May-01 13:47:00 UTC,0.265,9.185
Venus Uranus,14, 0014-Jun-21 08:39:00 UTC,1.286,31.989
Venus Uranus,15, 0015-Apr-09 02:03:00 UTC,1.859,38.139
Venus Uranus,16, 0016-May-27 16:48:00 UTC,0.041,2.135
Venus Uranus,17, 0017-Jul-15 06:52:00 UTC,2.017,41.361
Venus Uranus,18, 0018-May-03 16:13:00 UTC,1.256,28.149
Venus Uranus,19, 0019-Jun-24 01:00:00 UTC,0.177,13.333
Venus Uranus,20, 0020-May-15 19:56:00 UTC,2.2,24.047
Venus Uranus,20, 0020-Aug-03 01:18:00 UTC,3.865,45.776
Venus Uranus,21, 0021-May-29 14:53:00 UTC,0.887,17.436
Venus Uranus,22, 0022-Jul-20 07:08:00 UTC,0.403,24.33
Venus Uranus,23, 0023-May-10 12:20:00 UTC,2.18,43.759
Venus Uranus,24, 0024-Jun-25 05:03:00 UTC,0.641,6.479
Venus Uranus,25, 0025-Aug-14 22:37:00 UTC,0.671,34.854
Venus Uranus,26, 0026-Jun-02 15:43:00 UTC,1.409,35.838
Venus Uranus,27, 0027-Jul-23 01:16:00 UTC,0.489,4.908
Venus Uranus,28, 0028-Sep-07 16:38:00 UTC,1.144,43.811
