Planets,year,date,angular separation (deg),elongation
Mercury Moon,1, 0001-Jan-12 23:12:00 UTC,4.093,15.312
Mercury Moon,1, 0001-Feb-09 14:56:00 UTC,0.184,8.7
Mercury Moon,1, 0001-Mar-09 13:49:00 UTC,6.07,27.32
Mercury Moon,1, 0001-Apr-10 02:44:00 UTC,5.459,5.277
Mercury Moon,1, 0001-May-11 17:00:00 UTC,1.374,23.853
Mercury Moon,1, 0001-Jun-08 19:19:00 UTC,3.475,7.972
Mercury Moon,1, 0001-Jul-06 05:54:00 UTC,0.903,19.007
Mercury Moon,1, 0001-Aug-06 10:28:00 UTC,5.924,8.061
Mercury Moon,1, 0001-Sep-06 00:02:00 UTC,2.586,24.274
Mercury Moon,1, 0001-Oct-03 22:36:00 UTC,3.068,3.848
Mercury Moon,1, 0001-Oct-31 21:34:00 UTC,5.658,17.034
Mercury Moon,1, 0001-Dec-01 18:09:00 UTC,1.392,1.708
Mercury Moon,2, 0002-Jan-02 04:20:00 UTC,4.289,18.062
Mercury Moon,2, 0002-Jan-28 18:31:00 UTC,0.464,17.302
Mercury Moon,2, 0002-Feb-26 17:35:00 UTC,6.508,25.226
Mercury Moon,2, 0002-Mar-30 21:27:00 UTC,4.302,1.305
Mercury Moon,2, 0002-May-01 05:33:00 UTC,1.981,22.78
Mercury Moon,2, 0002-May-28 09:16:00 UTC,4.257,7.061
Mercury Moon,2, 0002-Jun-25 22:24:00 UTC,0.77,16.744
Mercury Moon,2, 0002-Jul-27 14:01:00 UTC,6.123,14.007
Mercury Moon,2, 0002-Aug-26 18:16:00 UTC,1.603,26.187
Mercury Moon,2, 0002-Sep-22 19:28:00 UTC,3.919,6.984
Mercury Moon,2, 0002-Oct-21 21:21:00 UTC,4.413,12.045
Mercury Moon,2, 0002-Nov-21 14:09:00 UTC,2.878,5.51
Mercury Moon,2, 0002-Dec-22 05:49:00 UTC,4.131,18.034
Mercury Moon,3, 0003-Jan-17 11:33:00 UTC,1.186,23.188
Mercury Moon,3, 0003-Feb-16 04:23:00 UTC,6.87,21.509
Mercury Moon,3, 0003-Mar-20 11:28:00 UTC,2.923,7.424
Mercury Moon,3, 0003-Apr-20 01:18:00 UTC,2.145,17.797
Mercury Moon,3, 0003-May-16 15:53:00 UTC,4.389,16.512
Mercury Moon,3, 0003-Jun-15 13:09:00 UTC,2.418,12.36
Mercury Moon,3, 0003-Jul-17 15:38:00 UTC,5.949,19.312
Mercury Moon,3, 0003-Aug-16 10:15:00 UTC,0.552,25.321
Mercury Moon,3, 0003-Sep-11 21:25:00 UTC,4.682,14.723
Mercury Moon,3, 0003-Oct-11 23:08:00 UTC,2.962,6.274
Mercury Moon,3, 0003-Nov-11 13:52:00 UTC,4.296,11.253
Mercury Moon,3, 0003-Dec-11 07:04:00 UTC,3.563,13.923
Mercury Moon,4, 0004-Jan-06 21:19:00 UTC,2.214,25.398
Mercury Moon,4, 0004-Feb-06 00:07:00 UTC,7.019,16.567
Mercury Moon,4, 0004-Mar-08 23:41:00 UTC,1.388,12.852
Mercury Moon,4, 0004-Apr-07 06:22:00 UTC,1.844,9.04
Mercury Moon,4, 0004-May-04 02:19:00 UTC,3.98,22.756
Mercury Moon,4, 0004-Jun-04 02:16:00 UTC,3.899,6.829
Mercury Moon,4, 0004-Jul-06 10:40:00 UTC,5.448,23.496
Mercury Moon,4, 0004-Aug-04 15:29:00 UTC,0.33,20.763
Mercury Moon,4, 0004-Aug-31 00:49:00 UTC,5.035,17.781
Mercury Moon,4, 0004-Sep-30 23:46:00 UTC,1.375,0.654
Mercury Moon,4, 0004-Oct-31 14:55:00 UTC,5.546,16.518
Mercury Moon,4, 0004-Nov-29 07:01:00 UTC,2.692,5.36
Mercury Moon,4, 0004-Dec-26 16:00:00 UTC,3.288,24.283
Mercury Moon,5, 0005-Jan-26 01:30:00 UTC,6.842,10.82
Mercury Moon,5, 0005-Feb-26 13:14:00 UTC,0.25,16.937
Mercury Moon,5, 0005-Mar-26 11:31:00 UTC,1.097,3.296
Mercury Moon,5, 0005-Apr-23 03:48:00 UTC,3.125,25.288
Mercury Moon,5, 0005-May-24 17:01:00 UTC,5.167,1.102
Mercury Moon,5, 0005-Jun-25 19:35:00 UTC,4.759,26.09
Mercury Moon,5, 0005-Jul-24 03:31:00 UTC,0.806,12.961
Mercury Moon,5, 0005-Aug-20 04:32:00 UTC,4.96,17.054
Mercury Moon,5, 0005-Sep-20 20:39:00 UTC,0.24,5.887
Mercury Moon,5, 0005-Oct-21 13:39:00 UTC,6.566,20.688
Mercury Moon,5, 0005-Nov-18 02:35:00 UTC,1.957,6.022
Mercury Moon,5, 0005-Dec-16 11:51:00 UTC,4.204,20.947
Mercury Moon,6, 0006-Jan-16 04:26:00 UTC,6.321,4.81
Mercury Moon,6, 0006-Feb-16 03:56:00 UTC,1.815,18.5
Mercury Moon,6, 0006-Mar-15 04:05:00 UTC,0.093,15.078
Mercury Moon,6, 0006-Apr-12 19:58:00 UTC,1.938,24.498
Mercury Moon,6, 0006-May-14 12:11:00 UTC,6.153,6.072
Mercury Moon,6, 0006-Jun-14 20:29:00 UTC,4.012,26.601
Mercury Moon,6, 0006-Jul-12 05:27:00 UTC,0.78,5.037
Mercury Moon,6, 0006-Aug-09 11:49:00 UTC,4.52,13.802
Mercury Moon,6, 0006-Sep-10 11:49:00 UTC,1.748,11.559
Mercury Moon,6, 0006-Oct-11 04:13:00 UTC,7.309,23.02
Mercury Moon,6, 0006-Nov-06 16:52:00 UTC,1.683,14.092
Mercury Moon,6, 0006-Dec-06 04:55:00 UTC,4.825,16.344
Mercury Moon,7, 0007-Jan-06 06:18:00 UTC,5.482,2.852
Mercury Moon,7, 0007-Feb-05 15:41:00 UTC,3.04,15.994
Mercury Moon,7, 0007-Mar-04 06:42:00 UTC,0.638,23.539
Mercury Moon,7, 0007-Apr-02 19:16:00 UTC,0.59,21.245
Mercury Moon,7, 0007-May-04 11:21:00 UTC,6.761,12.282
Mercury Moon,7, 0007-Jun-03 19:34:00 UTC,3.243,24.17
Mercury Moon,7, 0007-Jun-30 14:29:00 UTC,0.314,10.006
Mercury Moon,7, 0007-Jul-30 02:47:00 UTC,3.709,8.805
Mercury Moon,7, 0007-Aug-30 22:40:00 UTC,3.1,16.762
Mercury Moon,7, 0007-Sep-30 05:59:00 UTC,7.803,22.833
Mercury Moon,7, 0007-Oct-26 06:40:00 UTC,1.814,18.438
Mercury Moon,7, 0007-Nov-25 18:13:00 UTC,5.109,11.074
Mercury Moon,7, 0007-Dec-27 04:24:00 UTC,4.401,8.329
Mercury Moon,8, 0008-Jan-25 17:19:00 UTC,3.671,9.033
Mercury Moon,8, 0008-Feb-21 12:10:00 UTC,0.775,27.228
Mercury Moon,8, 0008-Mar-22 19:21:00 UTC,0.767,16.435
Mercury Moon,8, 0008-Apr-23 12:21:00 UTC,6.998,17.485
Mercury Moon,8, 0008-May-22 19:38:00 UTC,2.535,17.457
Mercury Moon,8, 0008-Jun-18 15:05:00 UTC,0.38,17.633
Mercury Moon,8, 0008-Jul-19 01:20:00 UTC,2.565,2.994
Mercury Moon,8, 0008-Aug-19 09:51:00 UTC,4.333,21.36
Mercury Moon,8, 0008-Sep-17 21:59:00 UTC,8.136,19.566
Mercury Moon,8, 0008-Oct-14 05:31:00 UTC,2.202,19.328
Mercury Moon,8, 0008-Nov-14 05:46:00 UTC,5.095,5.455
Mercury Moon,8, 0008-Dec-15 19:33:00 UTC,3.239,13.55
