Planets,year,date,angular separation (deg),elongation
Moon Mars,1, 0001-Jan-18 21:00:00 UTC,3.881,82.353
Moon Mars,1, 0001-Feb-16 08:12:00 UTC,2.697,70.117
Moon Mars,1, 0001-Mar-16 19:27:00 UTC,1.21,58.862
Moon Mars,1, 0001-Apr-14 06:55:00 UTC,0.449,48.301
Moon Mars,1, 0001-May-12 19:02:00 UTC,2.12,38.281
Moon Mars,1, 0001-Jun-10 08:13:00 UTC,3.645,28.73
Moon Mars,1, 0001-Aug-06 14:28:00 UTC,5.66,11.058
Moon Mars,1, 0001-Sep-04 07:28:00 UTC,5.899,5.082
Moon Mars,1, 0001-Oct-31 20:10:00 UTC,4.447,17.717
Moon Mars,1, 0001-Nov-29 15:43:00 UTC,2.764,26.36
Moon Mars,1, 0001-Dec-28 12:29:00 UTC,0.591,34.836
Moon Mars,2, 0002-Jan-26 11:05:00 UTC,1.821,42.784
Moon Mars,2, 0002-Feb-24 11:55:00 UTC,4.114,49.965
Moon Mars,2, 0002-Mar-25 14:47:00 UTC,5.895,56.368
Moon Mars,2, 0002-Jul-19 17:58:00 UTC,4.483,85.621
Moon Mars,2, 0002-Aug-17 06:13:00 UTC,2.773,98.626
Moon Mars,2, 0002-Sep-14 06:37:00 UTC,1.195,117.069
Moon Mars,2, 0002-Oct-11 13:11:00 UTC,0.086,143.916
Moon Mars,2, 0002-Nov-07 02:55:00 UTC,0.361,179.092
Moon Mars,2, 0002-Dec-03 19:37:00 UTC,0.493,145.667
Moon Mars,2, 0002-Dec-31 06:30:00 UTC,0.963,118.813
Moon Mars,3, 0003-Jan-28 07:45:00 UTC,1.925,98.89
Moon Mars,3, 0003-Feb-25 16:14:00 UTC,3.176,83.133
Moon Mars,3, 0003-Mar-26 03:44:00 UTC,4.446,69.913
Moon Mars,3, 0003-Apr-23 16:24:00 UTC,5.5,58.405
Moon Mars,3, 0003-May-22 05:33:00 UTC,6.163,48.072
Moon Mars,3, 0003-Jul-18 09:37:00 UTC,5.91,29.423
Moon Mars,3, 0003-Sep-13 18:18:00 UTC,3.393,11.506
Moon Mars,3, 0003-Oct-12 13:01:00 UTC,1.433,2.59
Moon Mars,3, 0003-Nov-10 09:08:00 UTC,0.772,6.355
Moon Mars,3, 0003-Dec-09 06:13:00 UTC,2.951,14.649
Moon Mars,4, 0004-Jan-07 03:53:00 UTC,4.774,22.154
Moon Mars,4, 0004-May-01 23:20:00 UTC,3.966,45.927
Moon Mars,4, 0004-May-30 22:21:00 UTC,1.963,52.562
Moon Mars,4, 0004-Jun-28 20:28:00 UTC,0.211,60.358
Moon Mars,4, 0004-Jul-27 16:54:00 UTC,2.264,69.683
Moon Mars,4, 0004-Aug-25 10:14:00 UTC,4.004,81.122
Moon Mars,5, 0005-May-01 11:33:00 UTC,6.736,69.935
Moon Mars,5, 0005-May-30 03:23:00 UTC,5.63,58.831
Moon Mars,5, 0005-Jun-27 20:27:00 UTC,4.074,48.726
Moon Mars,5, 0005-Jul-26 14:13:00 UTC,2.154,39.22
Moon Mars,5, 0005-Aug-24 08:44:00 UTC,0.025,30.189
Moon Mars,5, 0005-Sep-22 04:17:00 UTC,2.102,21.683
Moon Mars,6, 0006-Mar-14 20:04:00 UTC,2.38,19.751
Moon Mars,6, 0006-Apr-12 16:45:00 UTC,0.243,25.963
Moon Mars,6, 0006-May-11 12:00:00 UTC,1.825,32.612
Moon Mars,6, 0006-Jun-09 06:05:00 UTC,3.55,39.785
Moon Mars,6, 0006-Aug-05 15:28:00 UTC,5.415,56.831
Moon Mars,6, 0006-Sep-03 06:33:00 UTC,5.542,67.551
Moon Mars,6, 0006-Oct-01 19:28:00 UTC,5.308,80.519
Moon Mars,6, 0006-Oct-30 03:57:00 UTC,5.019,96.658
Moon Mars,6, 0006-Nov-27 03:29:00 UTC,5.13,117.613
Moon Mars,6, 0006-Dec-24 11:21:00 UTC,6.059,145.855
Moon Mars,7, 0007-Apr-11 19:25:00 UTC,4.863,97.314
Moon Mars,7, 0007-May-10 02:40:00 UTC,2.933,82.346
Moon Mars,7, 0007-Jun-07 16:13:00 UTC,0.803,70.063
Moon Mars,7, 0007-Jul-06 10:02:00 UTC,1.356,59.517
Moon Mars,7, 0007-Aug-04 07:01:00 UTC,3.324,50.227
Moon Mars,7, 0007-Sep-02 06:25:00 UTC,4.851,41.904
Moon Mars,7, 0007-Oct-01 07:32:00 UTC,5.689,34.303
Moon Mars,7, 0007-Oct-30 09:37:00 UTC,5.667,27.16
Moon Mars,7, 0007-Nov-28 11:50:00 UTC,4.754,20.186
Moon Mars,7, 0007-Dec-27 13:35:00 UTC,3.104,13.256
Moon Mars,8, 0008-Jan-25 14:25:00 UTC,1.024,6.453
Moon Mars,8, 0008-Feb-23 14:04:00 UTC,1.106,2.049
Moon Mars,8, 0008-Mar-23 12:18:00 UTC,2.937,7.56
Moon Mars,8, 0008-Apr-21 08:58:00 UTC,4.22,14.002
Moon Mars,8, 0008-May-20 03:56:00 UTC,4.841,20.731
Moon Mars,8, 0008-Jul-16 12:34:00 UTC,4.215,36.319
Moon Mars,8, 0008-Aug-14 02:10:00 UTC,3.217,45.776
Moon Mars,8, 0008-Sep-11 13:59:00 UTC,1.995,56.612
Moon Mars,8, 0008-Oct-10 00:05:00 UTC,0.763,68.997
Moon Mars,8, 0008-Nov-07 08:11:00 UTC,0.239,83.278
Moon Mars,8, 0008-Dec-05 12:58:00 UTC,0.76,100.203
Moon Mars,9, 0009-Jan-02 10:48:00 UTC,0.604,121.445
Moon Mars,9, 0009-Jan-29 19:42:00 UTC,0.172,149.621
Moon Mars,9, 0009-Feb-25 14:10:00 UTC,0.824,173.866
Moon Mars,9, 0009-Mar-24 07:55:00 UTC,0.319,140.757
Moon Mars,9, 0009-Apr-20 14:52:00 UTC,1.153,115.212
Moon Mars,9, 0009-May-18 11:31:00 UTC,2.897,97.027
Moon Mars,9, 0009-Jun-15 18:04:00 UTC,4.462,83.473
Moon Mars,9, 0009-Jul-14 07:51:00 UTC,5.544,72.775
Moon Mars,9, 0009-Oct-09 05:43:00 UTC,4.078,48.401
Moon Mars,9, 0009-Nov-07 10:24:00 UTC,2.114,41.128
Moon Mars,9, 0009-Dec-06 15:33:00 UTC,0.105,34.007
Moon Mars,10, 0010-Jan-04 20:00:00 UTC,2.152,27.135
Moon Mars,10, 0010-Feb-02 22:53:00 UTC,3.669,20.544
Moon Mars,10, 0010-Apr-01 22:22:00 UTC,4.506,7.833
Moon Mars,10, 0010-Apr-30 19:05:00 UTC,3.902,3.99
Moon Mars,10, 0010-May-29 14:10:00 UTC,2.819,9.25
Moon Mars,10, 0010-Jun-27 07:56:00 UTC,1.448,17.399
Moon Mars,10, 0010-Jul-26 00:31:00 UTC,0.018,26.552
Moon Mars,10, 0010-Aug-23 15:46:00 UTC,1.393,36.537
Moon Mars,10, 0010-Sep-21 05:22:00 UTC,2.508,47.322
Moon Mars,10, 0010-Oct-19 16:56:00 UTC,3.214,58.942
Moon Mars,10, 0010-Nov-17 02:10:00 UTC,3.409,71.543
Moon Mars,10, 0010-Dec-15 08:49:00 UTC,3.079,85.474
Moon Mars,11, 0011-Jan-12 12:13:00 UTC,2.348,101.467
Moon Mars,11, 0011-Feb-09 10:11:00 UTC,1.55,121.028
Moon Mars,11, 0011-Mar-08 22:13:00 UTC,1.31,146.751
Moon Mars,11, 0011-Apr-04 21:36:00 UTC,2.299,175.832
Moon Mars,11, 0011-May-01 18:16:00 UTC,4.025,145.657
Moon Mars,11, 0011-Jul-24 05:30:00 UTC,4.751,90.274
Moon Mars,11, 0011-Aug-21 18:32:00 UTC,3.27,80.379
Moon Mars,11, 0011-Sep-19 12:47:00 UTC,1.248,71.871
Moon Mars,11, 0011-Oct-18 11:13:00 UTC,0.922,64.072
Moon Mars,11, 0011-Nov-16 12:44:00 UTC,2.787,56.615
Moon Mars,11, 0011-Dec-15 16:00:00 UTC,3.972,49.274
Moon Mars,12, 0012-Jan-13 19:31:00 UTC,4.305,41.828
Moon Mars,12, 0012-Feb-11 22:02:00 UTC,3.833,34.132
Moon Mars,12, 0012-Mar-11 22:46:00 UTC,2.756,26.134
Moon Mars,12, 0012-Apr-09 21:30:00 UTC,1.331,17.885
Moon Mars,12, 0012-May-08 18:26:00 UTC,0.193,9.52
Moon Mars,12, 0012-Jun-06 13:59:00 UTC,1.612,2.535
Moon Mars,12, 0012-Jul-05 08:39:00 UTC,2.765,8.826
Moon Mars,12, 0012-Aug-03 02:50:00 UTC,3.534,17.9
Moon Mars,12, 0012-Aug-31 20:47:00 UTC,3.83,27.529
Moon Mars,12, 0012-Sep-29 14:20:00 UTC,3.599,37.757
Moon Mars,12, 0012-Oct-28 06:57:00 UTC,2.831,48.624
Moon Mars,12, 0012-Nov-25 21:50:00 UTC,1.596,60.091
Moon Mars,12, 0012-Dec-24 10:16:00 UTC,0.067,72.074
Moon Mars,13, 0013-Jan-21 19:58:00 UTC,1.493,84.548
Moon Mars,13, 0013-Feb-19 02:50:00 UTC,2.757,97.785
Moon Mars,13, 0013-Mar-19 06:07:00 UTC,3.367,112.695
Moon Mars,13, 0013-Apr-16 03:13:00 UTC,2.937,131.329
Moon Mars,13, 0013-May-13 13:41:00 UTC,1.208,156.783
Moon Mars,13, 0013-Jun-09 13:55:00 UTC,1.042,170.034
Moon Mars,13, 0013-Jul-06 17:29:00 UTC,1.785,140.496
Moon Mars,13, 0013-Aug-03 10:12:00 UTC,0.757,119.2
Moon Mars,13, 0013-Aug-31 13:42:00 UTC,0.95,104.459
Moon Mars,13, 0013-Oct-27 13:51:00 UTC,3.389,83.531
Moon Mars,13, 0013-Nov-25 06:49:00 UTC,3.43,74.356
Moon Mars,13, 0013-Dec-24 01:52:00 UTC,2.674,65.186
Moon Mars,14, 0014-Jan-21 22:16:00 UTC,1.362,55.904
Moon Mars,14, 0014-Feb-19 19:17:00 UTC,0.184,46.625
Moon Mars,14, 0014-Mar-20 16:18:00 UTC,1.667,37.513
Moon Mars,14, 0014-Apr-18 12:55:00 UTC,2.865,28.658
Moon Mars,14, 0014-May-17 09:01:00 UTC,3.639,20.07
Moon Mars,14, 0014-Jun-15 04:37:00 UTC,3.919,11.759
Moon Mars,14, 0014-Jul-13 23:55:00 UTC,3.687,5.077
Moon Mars,14, 0014-Aug-11 19:14:00 UTC,2.966,8.822
Moon Mars,14, 0014-Sep-09 14:51:00 UTC,1.814,17.876
Moon Mars,14, 0014-Oct-08 11:01:00 UTC,0.327,27.917
Moon Mars,14, 0014-Nov-06 07:46:00 UTC,1.347,38.369
Moon Mars,14, 0014-Dec-05 04:43:00 UTC,2.993,48.86
Moon Mars,15, 0015-Jan-31 20:32:00 UTC,5.081,68.622
Moon Mars,15, 0015-Mar-01 14:05:00 UTC,5.006,77.663
Moon Mars,15, 0015-Mar-30 05:24:00 UTC,4.014,86.482
Moon Mars,15, 0015-Apr-27 17:56:00 UTC,2.175,95.781
Moon Mars,15, 0015-May-26 02:34:00 UTC,0.263,106.768
Moon Mars,15, 0015-Jun-23 04:44:00 UTC,2.853,121.571
Moon Mars,15, 0015-Jul-20 19:59:00 UTC,4.791,143.564
Moon Mars,15, 0015-Oct-10 13:26:00 UTC,0.872,127.328
Moon Mars,15, 0015-Nov-07 13:17:00 UTC,0.445,108.859
Moon Mars,15, 0015-Dec-05 18:46:00 UTC,1.007,94.096
Moon Mars,16, 0016-Jan-03 03:24:00 UTC,2.02,81.264
Moon Mars,16, 0016-Jan-31 14:30:00 UTC,3.047,69.661
Moon Mars,16, 0016-Feb-29 03:41:00 UTC,3.779,58.942
Moon Mars,16, 0016-Mar-28 18:31:00 UTC,4.045,48.885
Moon Mars,16, 0016-Apr-26 10:32:00 UTC,3.789,39.277
Moon Mars,16, 0016-May-25 03:19:00 UTC,3.042,29.866
Moon Mars,16, 0016-Jun-22 20:40:00 UTC,1.891,20.456
Moon Mars,16, 0016-Jul-21 14:33:00 UTC,0.454,10.912
Moon Mars,16, 0016-Aug-19 09:09:00 UTC,1.127,1.244
Moon Mars,16, 0016-Sep-17 04:44:00 UTC,2.691,8.585
Moon Mars,16, 0016-Oct-16 01:42:00 UTC,4.053,18.315
Moon Mars,17, 0017-Jan-11 02:55:00 UTC,4.81,45.019
Moon Mars,17, 0017-Feb-09 05:21:00 UTC,3.448,52.703
Moon Mars,17, 0017-Mar-10 07:12:00 UTC,1.353,59.862
Moon Mars,17, 0017-Apr-08 07:30:00 UTC,1.162,66.677
Moon Mars,17, 0017-May-07 05:20:00 UTC,3.679,73.503
Moon Mars,17, 0017-Dec-15 13:10:00 UTC,3.884,118.113
Moon Mars,18, 0018-Jan-12 12:38:00 UTC,3.735,99.179
Moon Mars,18, 0018-Feb-09 16:59:00 UTC,3.402,84.088
Moon Mars,18, 0018-Apr-07 08:52:00 UTC,1.587,59.614
Moon Mars,18, 0018-May-05 19:37:00 UTC,0.2,48.908
Moon Mars,18, 0018-Jun-03 08:13:00 UTC,1.329,38.808
Moon Mars,18, 0018-Jul-01 22:39:00 UTC,2.833,29.186
Moon Mars,18, 0018-Jul-30 14:51:00 UTC,4.135,20.026
Moon Mars,18, 0018-Aug-28 08:41:00 UTC,5.063,11.498
Moon Mars,18, 0018-Sep-26 04:01:00 UTC,5.46,5.229
Moon Mars,18, 0018-Nov-22 23:06:00 UTC,4.215,15.853
Moon Mars,18, 0018-Dec-21 23:07:00 UTC,2.535,23.511
Moon Mars,19, 0019-Jan-20 00:57:00 UTC,0.324,30.913
Moon Mars,19, 0019-Feb-18 04:26:00 UTC,2.101,37.827
Moon Mars,19, 0019-Mar-19 08:56:00 UTC,4.319,44.172
Moon Mars,19, 0019-Apr-17 13:21:00 UTC,5.927,50.117
Moon Mars,19, 0019-May-16 16:22:00 UTC,6.655,56.113
Moon Mars,19, 0019-Jun-14 16:41:00 UTC,6.435,62.836
Moon Mars,19, 0019-Jul-13 13:06:00 UTC,5.393,71.05
Moon Mars,19, 0019-Aug-11 04:18:00 UTC,3.774,81.56
Moon Mars,19, 0019-Sep-08 12:24:00 UTC,1.887,95.376
Moon Mars,19, 0019-Oct-06 10:11:00 UTC,0.06,114.257
Moon Mars,19, 0019-Nov-02 17:26:00 UTC,1.318,140.965
Moon Mars,19, 0019-Nov-29 10:46:00 UTC,1.758,176.226
Moon Mars,19, 0019-Dec-26 05:26:00 UTC,1.381,147.603
Moon Mars,20, 0020-Jan-22 15:02:00 UTC,1.212,119.644
Moon Mars,20, 0020-Feb-19 13:07:00 UTC,1.683,99.138
Moon Mars,20, 0020-Mar-18 17:40:00 UTC,2.622,83.191
Moon Mars,20, 0020-Apr-16 01:19:00 UTC,3.746,69.997
Moon Mars,20, 0020-May-14 10:47:00 UTC,4.8,58.595
Moon Mars,20, 0020-Jul-10 10:38:00 UTC,5.909,39.13
Moon Mars,20, 0020-Sep-05 18:18:00 UTC,4.823,21.811
Moon Mars,20, 0020-Oct-04 13:18:00 UTC,3.347,13.371
Moon Mars,20, 0020-Nov-02 10:06:00 UTC,1.363,5.016
Moon Mars,20, 0020-Dec-01 08:19:00 UTC,0.905,3.14
Moon Mars,20, 0020-Dec-30 07:36:00 UTC,3.133,10.679
Moon Mars,21, 0021-Jan-28 07:53:00 UTC,4.95,17.459
Moon Mars,21, 0021-Feb-26 09:07:00 UTC,6.023,23.48
Moon Mars,21, 0021-Mar-27 11:00:00 UTC,6.157,29.069
Moon Mars,21, 0021-Apr-25 12:52:00 UTC,5.355,34.79
Moon Mars,21, 0021-May-24 13:59:00 UTC,3.798,41.184
Moon Mars,21, 0021-Jun-22 13:42:00 UTC,1.767,48.661
Moon Mars,21, 0021-Jul-21 11:28:00 UTC,0.444,57.502
Moon Mars,21, 0021-Aug-19 06:37:00 UTC,2.585,67.97
Moon Mars,21, 0021-Sep-16 21:52:00 UTC,4.475,80.525
Moon Mars,21, 0021-Oct-15 06:43:00 UTC,6.039,96.077
Moon Mars,22, 0022-Jun-21 07:54:00 UTC,5.581,59.435
Moon Mars,22, 0022-Jul-19 23:09:00 UTC,4.118,49.886
Moon Mars,22, 0022-Aug-17 15:27:00 UTC,2.214,40.953
