Planets,year,date,angular separation (deg),elongation
Moon Uranus,1, 0001-May-06 13:36:00 UTC,5.743,42.591
Moon Uranus,1, 0001-Nov-13 13:09:00 UTC,5.653,128.595
Moon Uranus,2, 0002-Feb-03 14:38:00 UTC,5.281,46.718
Moon Uranus,2, 0002-Mar-30 08:30:00 UTC,4.971,6.159
Moon Uranus,2, 0002-Jun-20 14:44:00 UTC,4.858,79.501
Moon Uranus,2, 0002-Aug-14 05:10:00 UTC,4.507,132.078
Moon Uranus,2, 0002-Sep-10 09:35:00 UTC,4.417,159.444
Moon Uranus,2, 0002-Oct-07 13:30:00 UTC,4.464,171.179
Moon Uranus,2, 0002-Nov-03 18:19:00 UTC,4.571,143.331
Moon Uranus,2, 0002-Dec-28 09:08:00 UTC,4.419,87.28
Moon Uranus,3, 0003-Jan-24 18:28:00 UTC,4.125,60.28
Moon Uranus,3, 0003-Feb-21 04:05:00 UTC,3.838,34.185
Moon Uranus,3, 0003-Mar-20 13:29:00 UTC,3.648,9.151
Moon Uranus,3, 0003-May-14 07:50:00 UTC,3.463,41.147
Moon Uranus,3, 0003-Jun-10 16:59:00 UTC,3.315,66.125
Moon Uranus,3, 0003-Aug-04 09:41:00 UTC,2.866,118.083
Moon Uranus,3, 0003-Aug-31 16:06:00 UTC,2.738,145.328
Moon Uranus,3, 0003-Sep-27 20:59:00 UTC,2.762,173.085
Moon Uranus,3, 0003-Nov-21 05:30:00 UTC,2.901,129.609
Moon Uranus,3, 0003-Dec-18 11:49:00 UTC,2.747,101.503
Moon Uranus,4, 0004-Jan-14 20:35:00 UTC,2.44,74.053
Moon Uranus,4, 0004-Feb-11 07:06:00 UTC,2.112,47.445
Moon Uranus,4, 0004-Mar-09 17:57:00 UTC,1.87,21.687
Moon Uranus,4, 0004-Apr-06 04:02:00 UTC,1.718,3.644
Moon Uranus,4, 0004-May-03 13:02:00 UTC,1.585,28.25
Moon Uranus,4, 0004-May-30 21:17:00 UTC,1.397,53.054
Moon Uranus,4, 0004-Jun-27 05:21:00 UTC,1.136,78.299
Moon Uranus,4, 0004-Jul-24 13:32:00 UTC,0.867,104.3
Moon Uranus,4, 0004-Aug-20 21:36:00 UTC,0.697,131.221
Moon Uranus,4, 0004-Sep-17 04:49:00 UTC,0.69,159.026
Moon Uranus,4, 0004-Oct-14 10:32:00 UTC,0.793,172.565
Moon Uranus,4, 0004-Nov-10 14:55:00 UTC,0.849,143.987
