Planets,year,date,angular separation (deg),elongation
Saturn Moon,1, 0001-Jan-22 09:38:00 UTC,2.638,127.155
Saturn Moon,1, 0001-Feb-18 16:47:00 UTC,2.376,99.673
Saturn Moon,1, 0001-Mar-18 00:16:00 UTC,1.938,73.96
Saturn Moon,1, 0001-Apr-14 09:45:00 UTC,1.455,49.709
Saturn Moon,1, 0001-May-11 22:08:00 UTC,1.015,26.443
Saturn Moon,1, 0001-Jun-08 13:06:00 UTC,0.632,3.687
Saturn Moon,1, 0001-Jul-06 05:20:00 UTC,0.265,19.221
Saturn Moon,1, 0001-Aug-02 20:55:00 UTC,0.137,42.592
Saturn Moon,1, 0001-Aug-30 09:49:00 UTC,0.576,66.941
Saturn Moon,1, 0001-Sep-26 18:46:00 UTC,0.979,92.642
Saturn Moon,1, 0001-Oct-24 00:19:00 UTC,1.224,119.936
Saturn Moon,1, 0001-Nov-20 04:55:00 UTC,1.236,148.789
Saturn Moon,1, 0001-Dec-17 10:49:00 UTC,1.09,178.599
Saturn Moon,2, 0002-Jan-13 18:17:00 UTC,0.994,151.478
Saturn Moon,2, 0002-Feb-10 02:18:00 UTC,1.109,122.742
Saturn Moon,2, 0002-Mar-09 10:10:00 UTC,1.423,95.725
Saturn Moon,2, 0002-Apr-05 18:22:00 UTC,1.814,70.435
Saturn Moon,2, 0002-May-03 04:02:00 UTC,2.178,46.503
Saturn Moon,2, 0002-May-30 16:02:00 UTC,2.488,23.41
Saturn Moon,2, 0002-Jun-27 06:23:00 UTC,2.781,0.617
Saturn Moon,2, 0002-Jul-24 22:11:00 UTC,3.114,22.407
Saturn Moon,2, 0002-Aug-21 13:45:00 UTC,3.511,46.125
Saturn Moon,2, 0002-Sep-18 02:57:00 UTC,3.923,70.943
Saturn Moon,2, 0002-Oct-15 12:06:00 UTC,4.238,97.154
Saturn Moon,2, 0002-Nov-11 17:24:00 UTC,4.356,124.886
Saturn Moon,2, 0002-Dec-08 21:06:00 UTC,4.289,153.971
Saturn Moon,3, 0003-Jan-05 01:45:00 UTC,4.182,176.208
Saturn Moon,3, 0003-Feb-01 08:15:00 UTC,4.199,146.703
Saturn Moon,3, 0003-Feb-28 16:04:00 UTC,4.374,118.443
Saturn Moon,3, 0003-Apr-24 09:35:00 UTC,4.818,66.968
Saturn Moon,3, 0003-May-21 19:46:00 UTC,4.948,43.264
Saturn Moon,3, 0003-Jun-18 07:39:00 UTC,5.044,20.246
Saturn Moon,3, 0003-Jul-15 21:28:00 UTC,5.174,2.692
Saturn Moon,3, 0003-Aug-12 12:42:00 UTC,5.382,25.925
Saturn Moon,3, 0003-Sep-09 03:57:00 UTC,5.651,50.032
Saturn Moon,3, 0003-Oct-06 17:09:00 UTC,5.894,75.328
Saturn Moon,3, 0003-Nov-30 07:31:00 UTC,5.992,130.112
Saturn Moon,3, 0003-Dec-27 10:29:00 UTC,5.922,159.305
Saturn Moon,4, 0004-Jan-23 13:55:00 UTC,5.93,171.005
Saturn Moon,4, 0004-Feb-19 19:19:00 UTC,6.051,141.96
Saturn Moon,4, 0004-Apr-14 11:42:00 UTC,6.256,88.103
Saturn Moon,4, 0004-Jun-08 08:32:00 UTC,6.059,39.911
Saturn Moon,4, 0004-Jul-05 20:33:00 UTC,5.933,16.878
Saturn Moon,4, 0004-Aug-02 09:57:00 UTC,5.882,6.304
Saturn Moon,4, 0004-Sep-26 15:06:00 UTC,5.976,54.351
Saturn Moon,4, 0004-Oct-24 03:53:00 UTC,5.981,80.103
Saturn Moon,4, 0004-Nov-20 13:00:00 UTC,5.903,107.208
Saturn Moon,4, 0004-Dec-17 18:01:00 UTC,5.814,135.562
Saturn Moon,5, 0005-Jan-13 20:32:00 UTC,5.828,164.728
Saturn Moon,5, 0005-Mar-09 03:29:00 UTC,6.122,137.226
Saturn Moon,5, 0005-Apr-05 10:29:00 UTC,6.149,109.991
