Planets ,year,date,angular separation (deg),elongation
Venus Moon,1, 0001-Jan-15 19:25:00 UTC,4.321,46.613
Venus Moon,1, 0001-Feb-14 01:27:00 UTC,0.715,42.723
Venus Moon,1, 0001-Mar-13 20:17:00 UTC,2.663,23.319
Venus Moon,1, 0001-Apr-09 02:55:00 UTC,0.611,17.537
Venus Moon,1, 0001-May-06 17:34:00 UTC,6.002,40.442
Venus Moon,1, 0001-Jun-04 20:23:00 UTC,7.181,45.728
Venus Moon,1, 0001-Jul-04 10:42:00 UTC,4.591,43.718
Venus Moon,1, 0001-Aug-03 03:40:00 UTC,0.024,38.765
Venus Moon,1, 0001-Sep-01 22:09:00 UTC,4.439,32.46
Venus Moon,1, 0001-Oct-01 19:06:00 UTC,6.572,25.508
Venus Moon,1, 0001-Oct-31 19:01:00 UTC,5.386,18.305
Venus Moon,1, 0001-Nov-30 22:02:00 UTC,1.529,11.077
Venus Moon,1, 0001-Dec-31 04:43:00 UTC,3.029,3.958
Venus Moon,2, 0002-Jan-30 15:06:00 UTC,6.008,3.748
Venus Moon,2, 0002-Mar-02 02:27:00 UTC,5.907,11.121
Venus Moon,2, 0002-Apr-01 10:26:00 UTC,2.829,18.793
Venus Moon,2, 0002-May-01 13:01:00 UTC,1.631,26.485
Venus Moon,2, 0002-May-31 10:55:00 UTC,5.302,33.818
Venus Moon,2, 0002-Jun-30 05:11:00 UTC,6.381,40.258
Venus Moon,2, 0002-Jul-29 19:46:00 UTC,4.211,45.018
Venus Moon,2, 0002-Aug-28 05:07:00 UTC,0.324,46.489
Venus Moon,2, 0002-Sep-26 02:30:00 UTC,4.761,40.1
Venus Moon,2, 0002-Oct-23 15:52:00 UTC,4.095,14.204
Venus Moon,2, 0002-Nov-19 07:11:00 UTC,3.157,26.041
Venus Moon,2, 0002-Dec-17 09:52:00 UTC,4.958,43.94
Venus Moon,3, 0003-Jan-15 14:12:00 UTC,1.717,46.762
Venus Moon,3, 0003-Feb-14 06:14:00 UTC,2.766,43.968
Venus Moon,3, 0003-Mar-16 06:24:00 UTC,5.758,38.765
Venus Moon,3, 0003-Apr-15 12:19:00 UTC,5.746,32.239
Venus Moon,3, 0003-May-15 20:24:00 UTC,2.82,24.857
Venus Moon,3, 0003-Jun-15 03:49:00 UTC,1.525,16.929
Venus Moon,3, 0003-Jul-15 09:25:00 UTC,5.17,8.776
Venus Moon,3, 0003-Aug-14 12:28:00 UTC,6.293,1.483
Venus Moon,3, 0003-Sep-13 12:28:00 UTC,4.27,7.515
Venus Moon,3, 0003-Oct-13 10:25:00 UTC,0.052,14.931
Venus Moon,3, 0003-Nov-12 08:35:00 UTC,4.337,21.997
Venus Moon,3, 0003-Dec-12 09:14:00 UTC,6.723,28.714
Venus Moon,4, 0004-Jan-11 12:44:00 UTC,5.781,35.03
Venus Moon,4, 0004-Feb-10 17:06:00 UTC,1.812,40.646
Venus Moon,4, 0004-Mar-11 18:55:00 UTC,3.356,44.682
Venus Moon,4, 0004-Apr-10 12:09:00 UTC,7.245,44.772
Venus Moon,4, 0004-May-09 05:39:00 UTC,7.406,34.321
Venus Moon,4, 0004-Jun-04 23:06:00 UTC,2.06,3.045
Venus Moon,4, 0004-Jul-01 11:29:00 UTC,1.895,32.371
Venus Moon,4, 0004-Jul-29 23:56:00 UTC,0.221,44.821
Venus Moon,4, 0004-Aug-28 15:12:00 UTC,3.511,45.65
Venus Moon,4, 0004-Sep-27 16:18:00 UTC,4.892,41.973
Venus Moon,4, 0004-Oct-27 18:53:00 UTC,3.361,36.376
Venus Moon,4, 0004-Nov-26 19:23:00 UTC,0.222,29.94
Venus Moon,4, 0004-Dec-26 17:54:00 UTC,3.88,23.148
Venus Moon,5, 0005-Jan-25 15:56:00 UTC,5.686,16.143
Venus Moon,5, 0005-Feb-24 14:49:00 UTC,4.694,8.88
Venus Moon,5, 0005-Mar-26 15:37:00 UTC,1.341,1.563
Venus Moon,5, 0005-Apr-25 19:39:00 UTC,2.83,7.016
Venus Moon,5, 0005-May-26 03:36:00 UTC,5.85,15.285
Venus Moon,5, 0005-Jun-25 13:39:00 UTC,6.141,23.485
Venus Moon,5, 0005-Jul-25 21:37:00 UTC,3.363,31.181
Venus Moon,5, 0005-Aug-25 00:34:00 UTC,1.341,38.009
Venus Moon,5, 0005-Sep-23 22:18:00 UTC,5.932,43.576
Venus Moon,5, 0005-Oct-23 14:47:00 UTC,8.301,47.043
Venus Moon,5, 0005-Dec-20 09:27:00 UTC,1.988,33.144
Venus Moon,6, 0006-Jan-16 05:55:00 UTC,3.355,8.13
Venus Moon,6, 0006-Feb-12 08:36:00 UTC,1.636,35.967
Venus Moon,6, 0006-Mar-12 23:37:00 UTC,1.374,45.54
Venus Moon,6, 0006-Apr-11 06:39:00 UTC,1.916,45.322
Venus Moon,6, 0006-May-10 20:06:00 UTC,0.2,41.2
Venus Moon,6, 0006-Jun-09 14:27:00 UTC,2.445,35.196
Venus Moon,6, 0006-Jul-09 14:40:00 UTC,4.396,28.141
Venus Moon,6, 0006-Aug-08 20:59:00 UTC,4.36,20.51
Venus Moon,6, 0006-Sep-08 07:13:00 UTC,2.041,12.677
Venus Moon,6, 0006-Oct-08 17:59:00 UTC,1.554,4.943
Venus Moon,6, 0006-Nov-08 02:41:00 UTC,4.623,2.672
Venus Moon,6, 0006-Dec-08 07:44:00 UTC,5.559,9.88
Venus Moon,7, 0007-Jan-07 08:37:00 UTC,3.796,16.937
Venus Moon,7, 0007-Feb-06 06:10:00 UTC,0.062,23.898
Venus Moon,7, 0007-Mar-08 02:18:00 UTC,4.044,30.755
Venus Moon,7, 0007-May-06 19:29:00 UTC,6.793,42.641
Venus Moon,7, 0007-Jun-05 13:30:00 UTC,3.864,45.42
Venus Moon,7, 0007-Jul-04 19:49:00 UTC,1.473,41.861
Venus Moon,7, 0007-Aug-01 16:37:00 UTC,7.526,23.152
Venus Moon,7, 0007-Sep-24 10:30:00 UTC,3.136,40.96
Venus Moon,7, 0007-Oct-23 15:36:00 UTC,1.355,46.721
Venus Moon,7, 0007-Nov-22 15:30:00 UTC,1.958,45.047
Venus Moon,7, 0007-Dec-22 22:47:00 UTC,2.987,40.352
Venus Moon,8, 0008-Jan-22 06:48:00 UTC,2.939,34.322
Venus Moon,8, 0008-Feb-21 11:37:00 UTC,1.361,27.596
Venus Moon,8, 0008-Mar-22 12:14:00 UTC,1.159,20.355
Venus Moon,8, 0008-Apr-21 09:49:00 UTC,3.479,12.637
Venus Moon,8, 0008-May-21 06:23:00 UTC,4.478,4.525
Venus Moon,8, 0008-Jun-20 03:49:00 UTC,3.542,3.85
Venus Moon,8, 0008-Jul-20 03:48:00 UTC,0.872,12.129
Venus Moon,8, 0008-Aug-19 07:38:00 UTC,2.513,20.108
Venus Moon,8, 0008-Sep-18 15:48:00 UTC,5.139,27.583
Venus Moon,8, 0008-Oct-19 02:33:00 UTC,5.692,34.41
Venus Moon,8, 0008-Nov-18 11:39:00 UTC,3.681,40.364
Venus Moon,8, 0008-Dec-18 14:34:00 UTC,0.316,44.908
Venus Moon,9, 0009-Jan-17 07:39:00 UTC,5.117,46.623
Venus Moon,9, 0009-May-08 04:56:00 UTC,3.754,41.881
Venus Moon,9, 0009-Jun-06 07:21:00 UTC,2.094,45.742
